date,region_id,wet_snow_fraction,n_valid,n_wet,source
2020-03-01,,0.0015,158953,240,WSM_S1B_SAR_track168_2020_03_01_05_26_38.tif
2020-03-03,,0.0043,156982,679,WSM_S1A_SAR_track117_2020_03_03_17_07_07.tif
2020-03-07,,0.0016,158953,252,WSM_S1A_SAR_track168_2020_03_07_05_27_20.tif
2020-03-09,,0.0037,156982,579,WSM_S1B_SAR_track117_2020_03_09_17_06_25.tif
2020-03-13,,0.1181,158953,18780,WSM_S1B_SAR_track168_2020_03_13_05_26_38.tif
2020-03-15,,0.2142,156982,33626,WSM_S1A_SAR_track117_2020_03_15_17_07_07.tif
2020-03-19,,0.1448,158953,23023,WSM_S1A_SAR_track168_2020_03_19_05_27_20.tif
2020-03-21,,0.4483,156982,70377,WSM_S1B_SAR_track117_2020_03_21_17_06_25.tif
2020-03-25,,0.0428,158953,6810,WSM_S1B_SAR_track168_2020_03_25_05_26_38.tif
2020-03-27,,0.1287,156982,20209,WSM_S1A_SAR_track117_2020_03_27_17_07_07.tif
2020-03-31,,0.147,158953,23372,WSM_S1A_SAR_track168_2020_03_31_05_27_20.tif
2020-04-02,,0.2881,156982,45227,WSM_S1B_SAR_track117_2020_04_02_17_06_25.tif
2020-04-06,,0.0509,158953,8083,WSM_S1B_SAR_track168_2020_04_06_05_26_39.tif
2020-04-08,,0.6035,156982,94744,WSM_S1A_SAR_track117_2020_04_08_17_07_07.tif
2020-04-12,,0.3262,158953,51853,WSM_S1A_SAR_track168_2020_04_12_05_27_21.tif
2020-04-14,,0.5324,156982,83575,WSM_S1B_SAR_track117_2020_04_14_17_06_26.tif
2020-04-18,,0.4976,158953,79094,WSM_S1B_SAR_track168_2020_04_18_05_26_39.tif
2020-04-20,,0.7468,156982,117237,WSM_S1A_SAR_track117_2020_04_20_17_07_08.tif
2020-04-24,,0.5545,158953,88136,WSM_S1A_SAR_track168_2020_04_24_05_27_21.tif
2020-04-26,,0.7105,156982,111538,WSM_S1B_SAR_track117_2020_04_26_17_06_26.tif
2020-04-30,,0.7373,158953,117190,WSM_S1B_SAR_track168_2020_04_30_05_26_40.tif
2020-05-02,,0.6985,156982,109651,WSM_S1A_SAR_track117_2020_05_02_17_07_08.tif
2020-05-06,,0.7219,158953,114750,WSM_S1A_SAR_track168_2020_05_06_05_27_22.tif
2020-05-08,,0.7375,156982,115767,WSM_S1B_SAR_track117_2020_05_08_17_06_27.tif
2020-05-12,,0.7136,158953,113433,WSM_S1B_SAR_track168_2020_05_12_05_26_40.tif
2020-05-14,,0.6336,156982,99459,WSM_S1A_SAR_track117_2020_05_14_17_07_09.tif
2020-05-18,,0.6966,158953,110731,WSM_S1A_SAR_track168_2020_05_18_05_27_23.tif
2020-05-20,,0.6475,156982,101642,WSM_S1B_SAR_track117_2020_05_20_17_06_27.tif
2020-05-24,,0.6504,158953,103376,WSM_S1B_SAR_track168_2020_05_24_05_26_41.tif
2020-05-26,,0.5296,156982,83132,WSM_S1A_SAR_track117_2020_05_26_17_07_10.tif
2020-05-30,,0.5021,158953,79806,WSM_S1A_SAR_track168_2020_05_30_05_27_23.tif
2020-06-01,,0.4918,156982,77202,WSM_S1B_SAR_track117_2020_06_01_17_06_28.tif
2020-06-05,,0.5439,158953,86462,WSM_S1B_SAR_track168_2020_06_05_05_26_42.tif
2020-06-07,,0.5008,156982,78617,WSM_S1A_SAR_track117_2020_06_07_17_07_10.tif
2020-06-11,,0.5412,158953,86019,WSM_S1A_SAR_track168_2020_06_11_05_27_24.tif
2020-06-13,,0.4621,156982,72543,WSM_S1B_SAR_track117_2020_06_13_17_06_29.tif
2020-06-17,,0.4641,158953,73772,WSM_S1B_SAR_track168_2020_06_17_05_26_42.tif
2020-06-19,,0.4449,156982,69835,WSM_S1A_SAR_track117_2020_06_19_17_07_11.tif
2020-06-23,,0.4267,158953,67832,WSM_S1A_SAR_track168_2020_06_23_05_27_25.tif
2020-06-25,,0.3376,156982,52993,WSM_S1B_SAR_track117_2020_06_25_17_06_29.tif
2020-06-29,,0.2889,158953,45927,WSM_S1B_SAR_track168_2020_06_29_05_26_43.tif
2020-07-01,,0.1948,156982,30573,WSM_S1A_SAR_track117_2020_07_01_17_07_11.tif
2020-07-05,,0.1941,158953,30852,WSM_S1A_SAR_track168_2020_07_05_05_27_25.tif
2020-07-07,,0.1308,156982,20526,WSM_S1B_SAR_track117_2020_07_07_17_06_30.tif
2020-07-11,,0.0882,158953,14021,WSM_S1B_SAR_track168_2020_07_11_05_26_44.tif
2020-07-13,,0.0706,156982,11079,WSM_S1A_SAR_track117_2020_07_13_17_07_12.tif
2020-07-17,,0.0942,158953,14979,WSM_S1A_SAR_track168_2020_07_17_05_27_26.tif
2020-07-19,,0.0698,156982,10950,WSM_S1B_SAR_track117_2020_07_19_17_06_31.tif
2020-07-23,,0.0658,158953,10466,WSM_S1B_SAR_track168_2020_07_23_05_26_44.tif
2020-07-25,,0.0465,156982,7305,WSM_S1A_SAR_track117_2020_07_25_17_07_13.tif
2020-07-29,,0.0409,158953,6499,WSM_S1A_SAR_track168_2020_07_29_05_27_27.tif
2020-07-31,,0.0326,156982,5111,WSM_S1B_SAR_track117_2020_07_31_17_06_32.tif
