product,source,product_identity,acquisition_time,time_source,time_quality
SNOWCOVER,s2_fsc_rofental_2022_10_03.tif,S2B_MSIL2A_20221003T101749_N0510_R065_T32TPS_20240723T043933.SAFE,2022-10-03T10:17:49.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_10_05.tif,S2A_MSIL2A_20221005T100901_N0510_R022_T32TPS_20240724T220447.SAFE,2022-10-05T10:09:01.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_10_08.tif,S2A_MSIL2A_20221008T101931_N0510_R065_T32TPS_20240725T084702.SAFE,2022-10-08T10:19:31.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_10_13.tif,S2B_MSIL2A_20221013T101859_N0510_R065_T32TPS_20240724T004100.SAFE,2022-10-13T10:18:59.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_10_18.tif,S2A_MSIL2A_20221018T102031_N0510_R065_T32TPS_20240802T013810.SAFE,2022-10-18T10:20:31.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_10_25.tif,S2A_MSIL2A_20221025T101111_N0510_R022_T32TPS_20240801T020006.SAFE,2022-10-25T10:11:11.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_10_28.tif,S2A_MSIL2A_20221028T102131_N0510_R065_T32TPS_20240725T232840.SAFE,2022-10-28T10:21:31.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_10_30.tif,S2B_MSIL2A_20221030T101039_N0510_R022_T32TPS_20240726T084236.SAFE,2022-10-30T10:10:39.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_11_02.tif,S2B_MSIL2A_20221102T102059_N0510_R065_T32TPS_20240806T041627.SAFE,2022-11-02T10:20:59.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_11_17.tif,S2A_MSIL2A_20221117T102311_N0510_R065_T32TPS_20240803T060904.SAFE,2022-11-17T10:23:11.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_11_19.tif,S2B_MSIL2A_20221119T101229_N0510_R022_T32TPS_20240730T084305.SAFE,2022-11-19T10:12:29.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_11_24.tif,S2A_MSIL2A_20221124T101341_N0510_R022_T32TPS_20240804T015954.SAFE,2022-11-24T10:13:41.024000Z,copernicus_dataspace_odata,catalog_verified
SNOWCOVER,s2_fsc_rofental_2022_11_27.tif,S2A_MSIL2A_20221127T102351_N0510_R065_T32TPS_20240730T023754.SAFE,2022-11-27T10:23:51.024000Z,copernicus_dataspace_odata,catalog_verified
