date,region_id,wet_snow_fraction,n_valid,n_wet,source
2022-03-05,,0.0072,156982,1137,WSM_S1A_SAR_track117_2022_03_05_17_07_18.tif
2022-03-09,,0.0037,158953,588,WSM_S1A_SAR_track168_2022_03_09_05_27_32.tif
2022-03-17,,0.3274,156982,51397,WSM_S1A_SAR_track117_2022_03_17_17_07_18.tif
2022-03-21,,0.1368,158953,21746,WSM_S1A_SAR_track168_2022_03_21_05_27_32.tif
2022-03-29,,0.2833,156982,44469,WSM_S1A_SAR_track117_2022_03_29_17_07_18.tif
2022-04-10,,0.0961,156982,15087,WSM_S1A_SAR_track117_2022_04_10_17_07_19.tif
2022-04-22,,0.5006,156982,78579,WSM_S1A_SAR_track117_2022_04_22_17_07_19.tif
2022-04-26,,0.3786,158953,60186,WSM_S1A_SAR_track168_2022_04_26_05_27_33.tif
2022-05-04,,0.5091,156982,79913,WSM_S1A_SAR_track117_2022_05_04_17_07_19.tif
2022-05-08,,0.626,158953,99504,WSM_S1A_SAR_track168_2022_05_08_05_27_33.tif
2022-05-16,,0.4068,156982,63858,WSM_S1A_SAR_track117_2022_05_16_17_07_21.tif
2022-05-20,,0.3977,158953,63222,WSM_S1A_SAR_track168_2022_05_20_05_27_34.tif
2022-05-28,,0.1332,156982,20916,WSM_S1A_SAR_track117_2022_05_28_17_07_21.tif
2022-06-01,,0.2058,158953,32709,WSM_S1A_SAR_track168_2022_06_01_05_27_35.tif
2022-06-13,,0.0633,158953,10064,WSM_S1A_SAR_track168_2022_06_13_05_27_36.tif
2022-06-21,,0.0237,156982,3722,WSM_S1A_SAR_track117_2022_06_21_17_07_23.tif
2022-06-25,,0.024,158953,3816,WSM_S1A_SAR_track168_2022_06_25_05_27_37.tif
2022-07-03,,0.0148,156982,2319,WSM_S1A_SAR_track117_2022_07_03_17_07_24.tif
2022-07-07,,0.0139,158953,2207,WSM_S1A_SAR_track168_2022_07_07_05_27_37.tif
2022-07-15,,0.0099,156982,1558,WSM_S1A_SAR_track117_2022_07_15_17_07_24.tif
2022-07-19,,0.008,158953,1274,WSM_S1A_SAR_track168_2022_07_19_05_27_38.tif
2022-07-27,,0.0023,156982,367,WSM_S1A_SAR_track117_2022_07_27_17_07_25.tif
2022-07-31,,0.0012,158953,190,WSM_S1A_SAR_track168_2022_07_31_05_27_39.tif
