date,region_id,wet_snow_fraction,n_valid,n_wet,source
2020-03-01,,0.0015,158953,240,WSM_S1B_SAR_track168_2020_03_01_05_26_38.tif
2020-03-03,,0.0043,156982,679,WSM_S1A_SAR_track117_2020_03_03_17_07_07.tif
2020-03-07,,0.0016,158953,252,WSM_S1A_SAR_track168_2020_03_07_05_27_20.tif
2020-03-09,,0.0037,156982,579,WSM_S1B_SAR_track117_2020_03_09_17_06_25.tif
2020-03-13,,0.1181,158953,18780,WSM_S1B_SAR_track168_2020_03_13_05_26_38.tif
2020-03-15,,0.2142,156982,33626,WSM_S1A_SAR_track117_2020_03_15_17_07_07.tif
2020-03-19,,0.1448,158953,23023,WSM_S1A_SAR_track168_2020_03_19_05_27_20.tif
2020-03-21,,0.4483,156982,70377,WSM_S1B_SAR_track117_2020_03_21_17_06_25.tif
2020-03-25,,0.0428,158953,6810,WSM_S1B_SAR_track168_2020_03_25_05_26_38.tif
2020-03-27,,0.1287,156982,20209,WSM_S1A_SAR_track117_2020_03_27_17_07_07.tif
2020-03-31,,0.147,158953,23372,WSM_S1A_SAR_track168_2020_03_31_05_27_20.tif
2020-04-02,,0.2881,156982,45227,WSM_S1B_SAR_track117_2020_04_02_17_06_25.tif
2020-04-06,,0.0509,158953,8083,WSM_S1B_SAR_track168_2020_04_06_05_26_39.tif
2020-04-08,,0.6035,156982,94744,WSM_S1A_SAR_track117_2020_04_08_17_07_07.tif
2020-04-12,,0.3262,158953,51853,WSM_S1A_SAR_track168_2020_04_12_05_27_21.tif
2020-04-14,,0.5324,156982,83575,WSM_S1B_SAR_track117_2020_04_14_17_06_26.tif
2020-04-18,,0.4976,158953,79094,WSM_S1B_SAR_track168_2020_04_18_05_26_39.tif
2020-04-20,,0.7468,156982,117237,WSM_S1A_SAR_track117_2020_04_20_17_07_08.tif
2020-04-24,,0.5545,158953,88136,WSM_S1A_SAR_track168_2020_04_24_05_27_21.tif
2020-04-26,,0.7105,156982,111538,WSM_S1B_SAR_track117_2020_04_26_17_06_26.tif
2020-04-30,,0.7373,158953,117190,WSM_S1B_SAR_track168_2020_04_30_05_26_40.tif
2020-05-02,,0.6985,156982,109651,WSM_S1A_SAR_track117_2020_05_02_17_07_08.tif
2020-05-06,,0.7219,158953,114750,WSM_S1A_SAR_track168_2020_05_06_05_27_22.tif
2020-05-08,,0.7375,156982,115767,WSM_S1B_SAR_track117_2020_05_08_17_06_27.tif
2020-05-12,,0.7136,158953,113433,WSM_S1B_SAR_track168_2020_05_12_05_26_40.tif
2020-05-14,,0.6336,156982,99459,WSM_S1A_SAR_track117_2020_05_14_17_07_09.tif
2020-05-18,,0.6966,158953,110731,WSM_S1A_SAR_track168_2020_05_18_05_27_23.tif
2020-05-20,,0.6475,156982,101642,WSM_S1B_SAR_track117_2020_05_20_17_06_27.tif
2020-05-24,,0.6504,158953,103376,WSM_S1B_SAR_track168_2020_05_24_05_26_41.tif
2020-05-26,,0.5296,156982,83132,WSM_S1A_SAR_track117_2020_05_26_17_07_10.tif
2020-05-30,,0.5021,158953,79806,WSM_S1A_SAR_track168_2020_05_30_05_27_23.tif
2020-06-01,,0.4918,156982,77202,WSM_S1B_SAR_track117_2020_06_01_17_06_28.tif
2020-06-05,,0.5439,158953,86462,WSM_S1B_SAR_track168_2020_06_05_05_26_42.tif
2020-06-07,,0.5008,156982,78617,WSM_S1A_SAR_track117_2020_06_07_17_07_10.tif
2020-06-11,,0.5412,158953,86019,WSM_S1A_SAR_track168_2020_06_11_05_27_24.tif
2020-06-13,,0.4621,156982,72543,WSM_S1B_SAR_track117_2020_06_13_17_06_29.tif
2020-06-17,,0.4641,158953,73772,WSM_S1B_SAR_track168_2020_06_17_05_26_42.tif
2020-06-19,,0.4449,156982,69835,WSM_S1A_SAR_track117_2020_06_19_17_07_11.tif
2020-06-23,,0.4267,158953,67832,WSM_S1A_SAR_track168_2020_06_23_05_27_25.tif
2020-06-25,,0.3376,156982,52993,WSM_S1B_SAR_track117_2020_06_25_17_06_29.tif
2020-06-29,,0.2889,158953,45927,WSM_S1B_SAR_track168_2020_06_29_05_26_43.tif
2020-07-01,,0.1948,156982,30573,WSM_S1A_SAR_track117_2020_07_01_17_07_11.tif
2020-07-05,,0.1941,158953,30852,WSM_S1A_SAR_track168_2020_07_05_05_27_25.tif
2020-07-07,,0.1308,156982,20526,WSM_S1B_SAR_track117_2020_07_07_17_06_30.tif
2020-07-11,,0.0882,158953,14021,WSM_S1B_SAR_track168_2020_07_11_05_26_44.tif
2020-07-13,,0.0706,156982,11079,WSM_S1A_SAR_track117_2020_07_13_17_07_12.tif
2020-07-17,,0.0942,158953,14979,WSM_S1A_SAR_track168_2020_07_17_05_27_26.tif
2020-07-19,,0.0698,156982,10950,WSM_S1B_SAR_track117_2020_07_19_17_06_31.tif
2020-07-23,,0.0658,158953,10466,WSM_S1B_SAR_track168_2020_07_23_05_26_44.tif
2020-07-25,,0.0465,156982,7305,WSM_S1A_SAR_track117_2020_07_25_17_07_13.tif
2020-07-29,,0.0409,158953,6499,WSM_S1A_SAR_track168_2020_07_29_05_27_27.tif
2020-07-31,,0.0326,156982,5111,WSM_S1B_SAR_track117_2020_07_31_17_06_32.tif
2021-03-02,,0.1004,158953,15958,WSM_S1A_SAR_track168_2021_03_02_05_27_26.tif
2021-03-04,,0.0966,156982,15166,WSM_S1B_SAR_track117_2021_03_04_17_06_13.tif
2021-03-10,,0.061,156982,9579,WSM_S1A_SAR_track117_2021_03_10_17_07_12.tif
2021-03-14,,0.0238,158953,3779,WSM_S1A_SAR_track168_2021_03_14_05_27_26.tif
2021-03-16,,0.0056,156982,885,WSM_S1B_SAR_track117_2021_03_16_17_06_14.tif
2021-03-22,,0.0042,156982,661,WSM_S1A_SAR_track117_2021_03_22_17_07_13.tif
2021-03-26,,0.0163,158953,2587,WSM_S1A_SAR_track168_2021_03_26_05_27_26.tif
2021-03-28,,0.1197,156982,18791,WSM_S1B_SAR_track117_2021_03_28_17_06_31.tif
2021-04-01,,0.1709,158953,27172,WSM_S1B_SAR_track168_2021_04_01_05_26_44.tif
2021-04-03,,0.3505,156982,55019,WSM_S1A_SAR_track117_2021_04_03_17_07_13.tif
2021-04-09,,0.0874,156982,13716,WSM_S1B_SAR_track117_2021_04_09_17_06_31.tif
2021-04-13,,0.1126,158953,17900,WSM_S1B_SAR_track168_2021_04_13_05_26_45.tif
2021-04-15,,0.0746,156982,11710,WSM_S1A_SAR_track117_2021_04_15_17_07_13.tif
2021-04-19,,0.1184,158953,18820,WSM_S1A_SAR_track168_2021_04_19_05_27_27.tif
2021-04-21,,0.405,156982,63571,WSM_S1B_SAR_track117_2021_04_21_17_06_32.tif
2021-04-25,,0.1921,158953,30541,WSM_S1B_SAR_track168_2021_04_25_05_26_45.tif
2021-04-27,,0.6344,156982,99585,WSM_S1A_SAR_track117_2021_04_27_17_07_14.tif
2021-05-01,,0.5733,158953,91131,WSM_S1A_SAR_track168_2021_05_01_05_27_27.tif
2021-05-03,,0.5764,156982,90478,WSM_S1B_SAR_track117_2021_05_03_17_06_32.tif
2021-05-07,,0.4332,158953,68858,WSM_S1B_SAR_track168_2021_05_07_05_26_46.tif
2021-05-09,,0.7842,156982,123100,WSM_S1A_SAR_track117_2021_05_09_17_07_14.tif
2021-05-13,,0.7263,158953,115450,WSM_S1A_SAR_track168_2021_05_13_05_27_28.tif
2021-05-15,,0.7538,156982,118327,WSM_S1B_SAR_track117_2021_05_15_17_06_33.tif
2021-05-19,,0.7547,158953,119961,WSM_S1B_SAR_track168_2021_05_19_05_26_47.tif
2021-05-21,,0.6305,156982,98982,WSM_S1A_SAR_track117_2021_05_21_17_07_15.tif
2021-05-25,,0.6693,158953,106394,WSM_S1A_SAR_track168_2021_05_25_05_27_29.tif
2021-05-27,,0.6294,156982,98803,WSM_S1B_SAR_track117_2021_05_27_17_06_33.tif
2021-05-31,,0.6318,158953,100433,WSM_S1B_SAR_track168_2021_05_31_05_26_47.tif
2021-06-02,,0.7209,156982,113164,WSM_S1A_SAR_track117_2021_06_02_17_07_16.tif
2021-06-06,,0.6984,158953,111009,WSM_S1A_SAR_track168_2021_06_06_05_27_29.tif
2021-06-12,,0.66,158953,104909,WSM_S1B_SAR_track168_2021_06_12_05_26_48.tif
2021-06-14,,0.516,156982,81003,WSM_S1A_SAR_track117_2021_06_14_17_07_17.tif
2021-06-18,,0.4991,158953,79329,WSM_S1A_SAR_track168_2021_06_18_05_27_30.tif
2021-06-20,,0.3329,156982,52256,WSM_S1B_SAR_track117_2021_06_20_17_06_35.tif
2021-06-24,,0.3433,158953,54562,WSM_S1B_SAR_track168_2021_06_24_05_26_49.tif
2021-06-26,,0.2372,156982,37236,WSM_S1A_SAR_track117_2021_06_26_17_07_17.tif
2021-06-30,,0.2335,158953,37112,WSM_S1A_SAR_track168_2021_06_30_05_27_31.tif
2021-07-02,,0.1905,156982,29903,WSM_S1B_SAR_track117_2021_07_02_17_06_36.tif
2021-07-06,,0.2,158953,31796,WSM_S1B_SAR_track168_2021_07_06_05_26_49.tif
2021-07-08,,0.0905,156982,14206,WSM_S1A_SAR_track117_2021_07_08_17_07_18.tif
2021-07-12,,0.1018,158953,16182,WSM_S1A_SAR_track168_2021_07_12_05_27_32.tif
2021-07-14,,0.0893,156982,14026,WSM_S1B_SAR_track117_2021_07_14_17_06_36.tif
2021-07-18,,0.0667,158953,10603,WSM_S1B_SAR_track168_2021_07_18_05_26_50.tif
2021-07-20,,0.053,156982,8317,WSM_S1A_SAR_track117_2021_07_20_17_07_19.tif
2021-07-24,,0.0369,158953,5869,WSM_S1A_SAR_track168_2021_07_24_05_27_32.tif
2021-07-26,,0.0315,156982,4941,WSM_S1B_SAR_track117_2021_07_26_17_06_37.tif
2021-07-30,,0.0371,158953,5899,WSM_S1B_SAR_track168_2021_07_30_05_26_51.tif
2022-03-05,,0.0072,156982,1137,WSM_S1A_SAR_track117_2022_03_05_17_07_18.tif
2022-03-09,,0.0037,158953,588,WSM_S1A_SAR_track168_2022_03_09_05_27_32.tif
2022-03-17,,0.3274,156982,51397,WSM_S1A_SAR_track117_2022_03_17_17_07_18.tif
2022-03-21,,0.1368,158953,21746,WSM_S1A_SAR_track168_2022_03_21_05_27_32.tif
2022-03-29,,0.2833,156982,44469,WSM_S1A_SAR_track117_2022_03_29_17_07_18.tif
2022-04-10,,0.0961,156982,15087,WSM_S1A_SAR_track117_2022_04_10_17_07_19.tif
2022-04-22,,0.5006,156982,78579,WSM_S1A_SAR_track117_2022_04_22_17_07_19.tif
2022-04-26,,0.3786,158953,60186,WSM_S1A_SAR_track168_2022_04_26_05_27_33.tif
2022-05-04,,0.5091,156982,79913,WSM_S1A_SAR_track117_2022_05_04_17_07_19.tif
2022-05-08,,0.626,158953,99504,WSM_S1A_SAR_track168_2022_05_08_05_27_33.tif
2022-05-16,,0.4068,156982,63858,WSM_S1A_SAR_track117_2022_05_16_17_07_21.tif
2022-05-20,,0.3977,158953,63222,WSM_S1A_SAR_track168_2022_05_20_05_27_34.tif
2022-05-28,,0.1332,156982,20916,WSM_S1A_SAR_track117_2022_05_28_17_07_21.tif
2022-06-01,,0.2058,158953,32709,WSM_S1A_SAR_track168_2022_06_01_05_27_35.tif
2022-06-13,,0.0633,158953,10064,WSM_S1A_SAR_track168_2022_06_13_05_27_36.tif
2022-06-21,,0.0237,156982,3722,WSM_S1A_SAR_track117_2022_06_21_17_07_23.tif
2022-06-25,,0.024,158953,3816,WSM_S1A_SAR_track168_2022_06_25_05_27_37.tif
2022-07-03,,0.0148,156982,2319,WSM_S1A_SAR_track117_2022_07_03_17_07_24.tif
2022-07-07,,0.0139,158953,2207,WSM_S1A_SAR_track168_2022_07_07_05_27_37.tif
2022-07-15,,0.0099,156982,1558,WSM_S1A_SAR_track117_2022_07_15_17_07_24.tif
2022-07-19,,0.008,158953,1274,WSM_S1A_SAR_track168_2022_07_19_05_27_38.tif
2022-07-27,,0.0023,156982,367,WSM_S1A_SAR_track117_2022_07_27_17_07_25.tif
2022-07-31,,0.0012,158953,190,WSM_S1A_SAR_track168_2022_07_31_05_27_39.tif
2023-03-12,,0.022,156982,3453,WSM_S1A_SAR_track117_2023_03_12_17_07_24.tif
2023-03-16,,0.0294,158953,4667,WSM_S1A_SAR_track168_2023_03_16_05_27_37.tif
2023-03-24,,0.4664,156982,73218,WSM_S1A_SAR_track117_2023_03_24_17_07_24.tif
2023-03-28,,0.2661,158953,42301,WSM_S1A_SAR_track168_2023_03_28_05_27_38.tif
2023-04-05,,0.0621,156982,9750,WSM_S1A_SAR_track117_2023_04_05_17_07_24.tif
2023-04-09,,0.0972,158953,15451,WSM_S1A_SAR_track168_2023_04_09_05_27_38.tif
2023-04-17,,0.375,156982,58863,WSM_S1A_SAR_track117_2023_04_17_17_07_25.tif
2023-04-21,,0.1889,158953,30034,WSM_S1A_SAR_track168_2023_04_21_05_27_38.tif
2023-04-29,,0.7357,156982,115498,WSM_S1A_SAR_track117_2023_04_29_17_07_25.tif
2023-05-03,,0.6166,158953,98009,WSM_S1A_SAR_track168_2023_05_03_05_27_39.tif
2023-05-11,,0.8905,156982,139793,WSM_S1A_SAR_track117_2023_05_11_17_07_26.tif
2023-05-15,,0.8196,158953,130278,WSM_S1A_SAR_track168_2023_05_15_05_27_40.tif
2023-05-23,,0.7113,156982,111655,WSM_S1A_SAR_track117_2023_05_23_17_07_26.tif
