date,region_id,acquisition_time,time_source,time_quality,wet_snow_line,wet_snow_line_p95,wet_snow_line_n_valid,wet_snow_line_n_wet,wet_snow_line_wet_bands,wet_snow_line_method,wet_snow_line_gate_reason,wet_snow_line_sector_rel_n,wet_snow_line_sector_rel_e,wet_snow_line_sector_rel_s,wet_snow_line_sector_rel_w
2023-03-12,,2023-03-12T17:07:12Z,sidecar_metadata,derived,,3099.3737426757802,6237,140,16,crossing_fraction,no_crossing_fraction,2268.112908748502,1970.0,2306.2107904642407,2076.6666666666665
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,,2693.7763916015624,6297,195,15,crossing_fraction,no_crossing_fraction,2003.75,2263.1336405529955,2216.7181467181467,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,2966.146427964146,3112.0566772460934,6237,2872,17,crossing_fraction,,2648.2097579715714,2880.3921121102844,3045.040871934605,2822.375451263538
2023-03-28,,2023-03-28T05:26:24Z,sidecar_metadata,derived,2279.7544735746983,2931.409814453125,6297,1667,16,crossing_fraction,,2087.151099891814,2677.4622397431176,2874.427983539095,2090.0
2023-04-05,,2023-04-05T17:07:12Z,sidecar_metadata,derived,,3050.107568359375,6237,377,12,crossing_fraction,no_crossing_fraction,2570.0,2774.255319148936,2884.9926253687318,2968.6363636363635
2023-04-09,,2023-04-09T05:26:24Z,sidecar_metadata,derived,,2851.186181640625,6297,617,14,crossing_fraction,no_crossing_fraction,2005.6675062972292,2525.8823529411766,2569.4451075116035,2070.0
2023-04-17,,2023-04-17T17:07:12Z,sidecar_metadata,derived,2678.805535324108,3040.5409667968743,6237,2345,15,crossing_fraction,,2162.2159447583176,2712.5118573325744,2831.4181413935044,2160.0
2023-04-21,,2023-04-21T05:26:24Z,sidecar_metadata,derived,,2862.679528808594,6297,1212,12,crossing_fraction,no_crossing_fraction,2168.273155039132,2708.524886877828,2788.86407215777,2083.3333333333335
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,3550.0,3214.7975463867188,6237,4536,15,crossing_fraction,,2901.295713551396,3194.765371218348,3249.401743177677,3204.430141287284
2023-05-03,,2023-05-03T05:26:24Z,sidecar_metadata,derived,3066.718769538577,3078.6044067382813,6297,3850,14,crossing_fraction,,2773.9181741700672,3009.402929036336,3040.5780980730065,2845.6962025316457
2023-05-11,,2023-05-11T17:07:12Z,sidecar_metadata,derived,,3253.327880859375,6237,5481,15,crossing_fraction,no_crossing_fraction,,3550.0,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,3645.2380952380954,3255.7625244140627,6297,5095,14,crossing_fraction,,,3426.3636363636365,3513.134328358209,3419.197830431059
2023-05-23,,2023-05-23T17:07:12Z,sidecar_metadata,derived,,3291.7296508789063,6237,4370,13,crossing_fraction,no_crossing_fraction,,,,
2023-05-27,,2023-05-27T05:26:24Z,sidecar_metadata,derived,,3288.265087890625,6297,4517,13,crossing_fraction,no_crossing_fraction,,,3630.0,
2023-06-04,,2023-06-04T17:07:12Z,sidecar_metadata,derived,,3314.556787109375,6237,3398,12,crossing_fraction,no_crossing_fraction,,,,
2023-06-08,,2023-06-08T05:26:24Z,sidecar_metadata,derived,,3314.8674072265626,6297,3408,11,crossing_fraction,no_crossing_fraction,,,,
2023-06-16,,2023-06-16T17:07:12Z,sidecar_metadata,derived,,3350.267724609375,6237,2409,10,crossing_fraction,no_crossing_fraction,,,,
2023-06-20,,2023-06-20T05:26:24Z,sidecar_metadata,derived,,3354.1180541992185,6297,2124,10,crossing_fraction,no_crossing_fraction,3447.2677595628415,,,
2023-06-28,,2023-06-28T17:07:12Z,sidecar_metadata,derived,,3436.056799316406,6237,662,9,crossing_fraction,no_crossing_fraction,3493.6363636363635,,,
