date,region_id,acquisition_time,time_source,time_quality,wet_snow_fraction,n_valid,n_wet,tiles_used,source,wet_snow_line,wet_snow_line_p95,wet_snow_line_n_valid,wet_snow_line_n_wet,wet_snow_line_wet_bands,wet_snow_line_support_coverage_ratio,wet_snow_line_method,wet_snow_line_gate_reason,unc_mean,unc_n_valid,unc_min,unc_max
2023-03-12,,2023-03-12T17:07:12Z,sidecar_metadata,derived,0.0224,158583,3547,UNKNOWN,WSM_S1A_SAR_track117_2023_03_12_17_07_24.tif,,3099.3737426757802,6237,140,16,0.9374718172253119,crossing_fraction,no_crossing_fraction,10.210110793716854,158583,10.0,30.0
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,0.0302,160355,4835,UNKNOWN,WSM_S1A_SAR_track168_2023_03_16_05_27_37.tif,,2693.7763916015624,6297,195,15,0.9464903051255072,crossing_fraction,no_crossing_fraction,10.208662031118456,160355,10.0,30.0
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,0.4639,158583,73560,UNKNOWN,WSM_S1A_SAR_track117_2023_03_24_17_07_24.tif,2966.146427964146,3112.0566772460934,6237,2872,17,0.9374718172253119,crossing_fraction,,10.210110793716854,158583,10.0,30.0
2023-03-28,,2023-03-28T05:26:24Z,sidecar_metadata,derived,0.2693,160355,43183,UNKNOWN,WSM_S1A_SAR_track168_2023_03_28_05_27_38.tif,2279.7544735746983,2931.409814453125,6297,1667,16,0.9464903051255072,crossing_fraction,,10.208662031118456,160355,10.0,30.0
2023-04-05,,2023-04-05T17:07:12Z,sidecar_metadata,derived,0.0618,158583,9808,UNKNOWN,WSM_S1A_SAR_track117_2023_04_05_17_07_24.tif,,3050.107568359375,6237,377,12,0.9374718172253119,crossing_fraction,no_crossing_fraction,10.210110793716854,158583,10.0,30.0
2023-04-09,,2023-04-09T05:26:24Z,sidecar_metadata,derived,0.0978,160355,15690,UNKNOWN,WSM_S1A_SAR_track168_2023_04_09_05_27_38.tif,,2851.186181640625,6297,617,14,0.9464903051255072,crossing_fraction,no_crossing_fraction,10.208662031118456,160355,10.0,30.0
2023-04-17,,2023-04-17T17:07:12Z,sidecar_metadata,derived,0.3758,158583,59597,UNKNOWN,WSM_S1A_SAR_track117_2023_04_17_17_07_25.tif,2678.805535324108,3040.5409667968743,6237,2345,15,0.9374718172253119,crossing_fraction,,10.210110793716854,158583,10.0,30.0
2023-04-21,,2023-04-21T05:26:24Z,sidecar_metadata,derived,0.1909,160355,30614,UNKNOWN,WSM_S1A_SAR_track168_2023_04_21_05_27_38.tif,,2862.679528808594,6297,1212,12,0.9464903051255072,crossing_fraction,no_crossing_fraction,10.208662031118456,160355,10.0,30.0
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,0.7281,158583,115461,UNKNOWN,WSM_S1A_SAR_track117_2023_04_29_17_07_25.tif,3550.0,3214.7975463867188,6237,4536,15,0.9374718172253119,crossing_fraction,,10.210110793716854,158583,10.0,30.0
2023-05-03,,2023-05-03T05:26:24Z,sidecar_metadata,derived,0.6104,160355,97886,UNKNOWN,WSM_S1A_SAR_track168_2023_05_03_05_27_39.tif,3066.718769538577,3078.6044067382813,6297,3850,14,0.9464903051255072,crossing_fraction,,10.208662031118456,160355,10.0,30.0
2023-05-11,,2023-05-11T17:07:12Z,sidecar_metadata,derived,0.8818,158583,139832,UNKNOWN,WSM_S1A_SAR_track117_2023_05_11_17_07_26.tif,,3253.327880859375,6237,5481,15,0.9374718172253119,crossing_fraction,no_crossing_fraction,10.210110793716854,158583,10.0,30.0
