date,temp,precip,sw_in,rel_hum,wind_speed,wind_dir,air_pres
2022-10-01 00:00:00,268.05,,0.0,96.0,2.8,250.0,667.0
2022-10-01 01:00:00,267.85,,0.0,96.0,2.9,248.0,667.3
2022-10-01 02:00:00,267.35,,0.0,94.0,3.6,242.0,667.1
2022-10-01 03:00:00,267.35,,0.0,92.0,4.4,242.0,666.8
2022-10-01 04:00:00,268.15,,0.0,77.0,6.3,242.0,666.8
2022-10-01 05:00:00,268.45,,0.0,67.0,7.4,231.0,666.9
2022-10-01 06:00:00,268.25,,51.0,73.0,4.9,247.0,667.1
2022-10-01 07:00:00,268.35,,110.0,69.0,5.8,248.0,667.5
2022-10-01 08:00:00,268.35,,236.0,70.0,4.3,254.0,667.8
2022-10-01 09:00:00,268.65,,223.0,58.0,4.9,251.0,668.0
2022-10-01 10:00:00,267.85,,243.0,87.0,2.7,277.0,668.0
2022-10-01 11:00:00,269.55,,367.0,97.0,4.2,240.0,668.1
2022-10-01 12:00:00,269.45,,325.0,98.0,7.1,258.0,668.2
2022-10-01 13:00:00,269.05,,278.0,95.0,5.8,269.0,668.0
2022-10-01 14:00:00,269.25,,293.0,98.0,4.1,266.0,668.2
2022-10-01 15:00:00,269.15,,178.0,97.0,4.4,266.0,668.2
2022-10-01 16:00:00,269.15,,85.0,98.0,4.4,256.0,668.4
2022-10-01 17:00:00,268.95,,17.0,98.0,4.4,261.0,668.7
2022-10-01 18:00:00,268.85,,0.0,98.0,3.7,274.0,669.1
2022-10-01 19:00:00,269.15,,0.0,98.0,3.8,278.0,669.3
2022-10-01 20:00:00,269.35,,0.0,99.0,4.1,286.0,670.2
2022-10-01 21:00:00,269.55,,0.0,98.0,4.0,282.0,669.7
2022-10-01 22:00:00,269.35,,0.0,98.0,3.7,283.0,671.1
2022-10-01 23:00:00,268.75,,0.0,98.0,3.0,282.0,671.6
2022-10-02 00:00:00,269.05,,0.0,98.0,4.2,251.0,672.2
2022-10-02 01:00:00,269.55,,0.0,98.0,6.0,270.0,672.4
2022-10-02 02:00:00,269.85,,0.0,99.0,6.1,258.0,672.7
2022-10-02 03:00:00,269.95,,0.0,98.0,5.9,254.0,672.9
2022-10-02 04:00:00,270.15,,0.0,99.0,6.1,243.0,673.1
2022-10-02 05:00:00,270.25,,0.0,99.0,5.7,257.0,673.4
2022-10-02 06:00:00,270.45,,9.0,99.0,5.4,242.0,673.7
2022-10-02 07:00:00,270.55,,74.0,99.0,5.6,248.0,674.4
2022-10-02 08:00:00,270.45,,121.0,97.0,5.0,279.0,674.3
2022-10-02 09:00:00,271.05,,246.0,98.0,4.6,267.0,674.7
2022-10-02 10:00:00,271.15,,347.0,100.0,5.5,263.0,674.6
2022-10-02 11:00:00,271.05,,429.0,98.0,5.1,258.0,674.7
2022-10-02 12:00:00,271.45,,323.0,99.0,4.5,268.0,674.4
2022-10-02 13:00:00,271.25,,271.0,98.0,5.4,270.0,673.8
2022-10-02 14:00:00,270.85,,244.0,97.0,5.4,278.0,674.1
2022-10-02 15:00:00,270.25,,203.0,95.0,4.6,271.0,673.8
2022-10-02 16:00:00,269.85,,82.0,95.0,3.9,271.0,673.5
2022-10-02 17:00:00,269.45,,17.0,94.0,3.8,257.0,673.3
2022-10-02 18:00:00,269.25,,0.0,94.0,3.5,244.0,673.6
2022-10-02 19:00:00,269.45,,0.0,97.0,3.4,277.0,673.5
2022-10-02 20:00:00,269.05,,0.0,97.0,4.6,295.0,673.4
2022-10-02 21:00:00,268.65,,0.0,97.0,4.2,292.0,673.6
2022-10-02 22:00:00,268.65,,0.0,97.0,2.9,241.0,673.1
2022-10-02 23:00:00,269.05,,0.0,98.0,2.2,266.0,673.2
2022-10-03 00:00:00,269.05,,0.0,97.0,4.1,314.0,673.4
2022-10-03 01:00:00,269.45,,0.0,98.0,5.0,320.0,673.6
2022-10-03 02:00:00,269.15,,0.0,98.0,3.8,310.0,673.7
2022-10-03 03:00:00,268.75,,0.0,97.0,2.6,313.0,674.0
2022-10-03 04:00:00,268.85,,0.0,97.0,2.7,330.0,674.1
2022-10-03 05:00:00,267.75,,0.0,96.0,3.0,329.0,674.0
2022-10-03 06:00:00,266.15,,34.0,90.0,4.4,326.0,674.1
2022-10-03 07:00:00,265.45,,199.0,86.0,5.0,319.0,674.3
2022-10-03 08:00:00,265.65,,383.0,81.0,5.3,324.0,674.8
2022-10-03 09:00:00,266.85,,539.0,82.0,2.4,255.0,675.1
2022-10-03 10:00:00,267.65,,655.0,55.0,5.4,337.0,675.2
2022-10-03 11:00:00,268.25,,713.0,57.0,5.7,344.0,675.3
2022-10-03 12:00:00,268.85,,713.0,53.0,4.0,336.0,675.4
2022-10-03 13:00:00,270.35,,653.0,73.0,1.3,294.0,675.4
2022-10-03 14:00:00,270.25,,550.0,79.0,3.9,213.0,675.5
2022-10-03 15:00:00,270.55,,398.0,80.0,3.7,218.0,675.4
2022-10-03 16:00:00,270.15,,216.0,75.0,2.2,233.0,675.4
2022-10-03 17:00:00,269.35,,45.0,58.0,3.3,338.0,675.4
2022-10-03 18:00:00,269.15,,0.0,56.0,5.1,344.0,675.5
2022-10-03 19:00:00,269.15,,0.0,52.0,5.2,349.0,675.5
2022-10-03 20:00:00,269.25,,0.0,51.0,4.6,358.0,675.6
2022-10-03 21:00:00,269.45,,0.0,50.0,6.1,1.0,675.6
2022-10-03 22:00:00,270.25,,0.0,44.0,6.5,2.0,675.6
