date,temp,precip,sw_in,rel_hum,wind_speed,wind_dir,air_pres
2022-10-01 00:00:00,276.65,0.0,0.0,90.0,1.2,180.0,840.5
2022-10-01 01:00:00,276.55,0.0,0.0,90.0,2.1,187.0,840.7
2022-10-01 02:00:00,274.45,0.0,0.0,92.0,1.0,179.0,840.4
2022-10-01 03:00:00,273.75,0.0,0.0,94.0,0.8,205.0,840.3
2022-10-01 04:00:00,273.45,0.0,0.0,95.0,0.7,223.0,840.1
2022-10-01 05:00:00,273.35,0.0,0.0,94.0,0.5,211.0,840.3
2022-10-01 06:00:00,274.35,0.0,14.0,93.0,0.8,216.0,840.4
2022-10-01 07:00:00,275.75,0.0,73.0,89.0,0.6,228.0,840.7
2022-10-01 08:00:00,278.55,0.0,105.0,84.0,0.4,168.0,840.5
2022-10-01 09:00:00,280.65,0.0,111.0,72.0,1.2,189.0,840.9
2022-10-01 10:00:00,280.85,0.0,153.0,65.0,2.4,239.0,841.6
2022-10-01 11:00:00,280.05,0.2,138.0,76.0,2.5,260.0,841.6
2022-10-01 12:00:00,279.75,0.3,84.0,81.0,1.8,210.0,841.5
2022-10-01 13:00:00,281.35,0.1,92.0,74.0,2.2,217.0,841.2
2022-10-01 14:00:00,280.55,0.6,105.0,83.0,3.5,246.0,841.5
2022-10-01 15:00:00,279.75,1.2,54.0,87.0,4.2,246.0,841.9
2022-10-01 16:00:00,279.85,1.6,21.0,83.0,3.1,238.0,842.1
2022-10-01 17:00:00,279.65,1.3,6.0,85.0,4.1,243.0,842.9
2022-10-01 18:00:00,279.15,0.7,0.0,89.0,3.4,244.0,843.0
2022-10-01 19:00:00,279.35,1.9,0.0,88.0,2.5,219.0,843.8
2022-10-01 20:00:00,280.15,2.8,0.0,85.0,2.9,226.0,844.5
2022-10-01 21:00:00,281.05,1.4,0.0,81.0,4.4,233.0,844.8
2022-10-01 22:00:00,281.25,1.6,0.0,81.0,4.8,225.0,845.5
2022-10-01 23:00:00,280.65,1.2,0.0,85.0,4.9,232.0,846.5
2022-10-02 00:00:00,280.95,1.1,0.0,81.0,3.8,233.0,846.9
