date,temp,precip,sw_in,rel_hum,wind_speed,wind_dir,air_pres
2022-10-01 00:00:00,281.85,0.0,0.0,94.0,0.3,271.0,938.9
2022-10-01 01:00:00,281.85,0.0,0.0,95.0,0.3,50.0,939.1
2022-10-01 02:00:00,281.75,0.0,0.0,95.0,0.1,31.0,938.9
2022-10-01 03:00:00,281.85,0.0,0.0,95.0,0.7,274.0,938.6
2022-10-01 04:00:00,281.95,0.0,0.0,94.0,0.8,261.0,938.5
2022-10-01 05:00:00,281.65,0.0,0.0,95.0,0.3,127.0,939.0
2022-10-01 06:00:00,281.65,0.0,21.0,93.0,0.9,267.0,938.9
2022-10-01 07:00:00,282.15,0.0,76.0,84.0,1.4,255.0,939.2
2022-10-01 08:00:00,283.05,0.0,150.0,79.0,1.3,265.0,939.0
2022-10-01 09:00:00,283.65,0.0,120.0,75.0,1.7,259.0,938.9
2022-10-01 10:00:00,284.45,0.0,147.0,75.0,1.5,253.0,938.7
2022-10-01 11:00:00,284.95,0.0,116.0,74.0,0.7,246.0,938.7
2022-10-01 12:00:00,285.35,0.1,119.0,76.0,0.4,259.0,938.8
2022-10-01 13:00:00,285.75,0.3,150.0,78.0,0.2,220.0,938.5
2022-10-01 14:00:00,285.45,0.5,93.0,86.0,0.3,140.0,938.8
2022-10-01 15:00:00,285.15,1.2,66.0,91.0,0.1,135.0,939.1
2022-10-01 16:00:00,284.55,1.2,28.0,94.0,0.5,106.0,939.5
2022-10-01 17:00:00,284.25,1.4,4.0,96.0,0.2,203.0,940.5
2022-10-01 18:00:00,283.85,1.6,0.0,96.0,1.5,247.0,941.1
2022-10-01 19:00:00,283.75,1.1,0.0,96.0,1.5,252.0,941.6
2022-10-01 20:00:00,283.65,1.7,0.0,94.0,1.5,260.0,942.5
2022-10-01 21:00:00,283.55,1.8,0.0,95.0,1.9,237.0,943.2
2022-10-01 22:00:00,283.25,2.8,0.0,96.0,1.1,236.0,944.6
2022-10-01 23:00:00,283.15,1.0,0.0,97.0,1.4,273.0,944.5
2022-10-02 00:00:00,282.95,0.5,0.0,96.0,2.1,268.0,945.2
2022-10-02 01:00:00,283.05,0.5,0.0,96.0,1.8,253.0,945.6
2022-10-02 02:00:00,283.25,0.3,0.0,95.0,1.8,236.0,945.8
