date,temp,precip,sw_in,rel_hum,wind_speed,wind_dir,air_pres,hs
2022-10-01 00:00:00,278.95,0.0,0.0,97.0,1.0,346.0,864.7,
2022-10-01 01:00:00,278.95,0.0,0.0,97.0,0.3,1.0,865.2,
2022-10-01 02:00:00,278.85,0.0,0.0,96.0,0.4,174.0,864.9,
2022-10-01 03:00:00,278.35,0.0,0.0,97.0,0.3,150.0,864.6,
2022-10-01 04:00:00,277.35,0.0,0.0,96.0,0.3,169.0,864.8,
2022-10-01 05:00:00,276.15,0.0,0.0,97.0,1.1,144.0,865.1,
2022-10-01 06:00:00,276.85,0.0,18.0,96.0,1.6,140.0,865.4,
2022-10-01 07:00:00,278.45,0.0,93.0,93.0,1.3,143.0,865.6,
2022-10-01 08:00:00,279.85,0.0,155.0,87.0,0.3,197.0,865.6,
2022-10-01 09:00:00,280.15,0.0,122.0,84.0,0.5,309.0,865.9,
2022-10-01 10:00:00,282.25,0.0,227.0,82.0,0.4,290.0,865.7,
2022-10-01 11:00:00,282.85,0.0,209.0,75.0,1.0,334.0,865.7,
2022-10-01 12:00:00,283.15,0.0,190.0,71.0,1.2,345.0,865.9,
2022-10-01 13:00:00,282.95,0.3,137.0,75.0,1.1,287.0,865.7,
2022-10-01 14:00:00,282.95,0.1,162.0,77.0,0.2,319.0,865.5,
2022-10-01 15:00:00,282.35,0.5,90.0,90.0,0.5,298.0,865.5,
2022-10-01 16:00:00,281.25,0.9,33.0,95.0,0.8,331.0,866.0,
2022-10-01 17:00:00,280.95,0.9,8.0,99.0,0.6,321.0,866.7,
2022-10-01 18:00:00,281.05,1.3,0.0,97.0,0.6,314.0,867.1,
2022-10-01 19:00:00,280.65,0.9,0.0,99.0,0.6,312.0,867.9,
2022-10-01 20:00:00,280.65,2.2,0.0,98.0,0.7,315.0,868.8,
2022-10-01 21:00:00,280.35,1.1,0.0,97.0,0.7,299.0,869.3,
2022-10-01 22:00:00,280.35,1.5,0.0,98.0,0.4,356.0,870.1,
2022-10-01 23:00:00,280.15,1.9,0.0,99.0,0.4,316.0,870.7,
2022-10-02 00:00:00,280.15,1.2,0.0,99.0,0.3,307.0,871.2,
2022-10-02 01:00:00,280.05,0.9,0.0,100.0,0.2,356.0,871.6,
2022-10-02 02:00:00,280.05,0.9,0.0,100.0,0.2,309.0,872.0,
2022-10-02 03:00:00,280.25,0.8,0.0,97.0,0.6,295.0,872.2,
2022-10-02 04:00:00,280.05,0.3,0.0,100.0,0.7,357.0,872.1,
2022-10-02 05:00:00,279.85,0.3,0.0,100.0,0.3,331.0,872.1,
2022-10-02 06:00:00,280.05,0.0,4.0,99.0,0.4,148.0,872.1,
2022-10-02 07:00:00,280.65,0.0,35.0,97.0,0.3,297.0,872.3,
2022-10-02 08:00:00,281.15,0.0,93.0,95.0,0.4,339.0,872.1,
2022-10-02 09:00:00,282.65,0.0,201.0,92.0,0.4,350.0,871.8,
2022-10-02 10:00:00,285.65,0.0,407.0,85.0,0.3,287.0,871.5,
2022-10-02 11:00:00,286.55,0.0,476.0,82.0,1.1,338.0,871.0,
2022-10-02 12:00:00,287.05,0.0,360.0,80.0,1.2,340.0,870.3,
2022-10-02 13:00:00,289.35,0.0,441.0,72.0,0.8,299.0,869.8,
2022-10-02 14:00:00,287.35,0.0,460.0,81.0,1.0,309.0,869.3,
2022-10-02 15:00:00,288.25,0.0,388.0,67.0,1.7,295.0,869.2,
2022-10-02 16:00:00,285.95,0.0,174.0,78.0,1.0,297.0,869.5,
2022-10-02 17:00:00,284.55,0.0,26.0,81.0,0.3,183.0,869.6,
2022-10-02 18:00:00,283.75,0.0,0.0,77.0,1.3,146.0,870.1,
2022-10-02 19:00:00,283.25,0.0,0.0,81.0,1.2,141.0,870.1,
2022-10-02 20:00:00,282.95,0.0,0.0,86.0,0.1,288.0,870.8,
2022-10-02 21:00:00,285.35,0.0,0.0,58.0,0.3,332.0,870.8,
2022-10-02 22:00:00,284.05,0.0,0.0,68.0,1.4,350.0,870.9,
2022-10-02 23:00:00,281.95,0.4,0.0,89.0,0.1,133.0,871.2,
2022-10-03 00:00:00,281.45,0.3,0.0,93.0,0.6,306.0,871.8,
2022-10-03 01:00:00,281.35,1.1,0.0,94.0,0.8,333.0,872.1,
2022-10-03 02:00:00,281.15,0.2,0.0,92.0,0.5,299.0,872.0,
2022-10-03 03:00:00,280.95,0.3,0.0,93.0,1.4,300.0,872.2,
2022-10-03 04:00:00,280.95,0.1,0.0,93.0,1.8,275.0,872.5,
2022-10-03 05:00:00,280.35,0.1,0.0,100.0,1.4,290.0,872.6,
2022-10-03 06:00:00,280.35,0.0,3.0,100.0,0.7,328.0,873.1,
2022-10-03 07:00:00,280.35,0.0,29.0,100.0,1.0,347.0,873.5,
2022-10-03 08:00:00,281.35,0.0,164.0,93.0,0.8,323.0,874.0,
2022-10-03 09:00:00,283.25,0.0,389.0,84.0,0.8,317.0,874.0,
2022-10-03 10:00:00,284.15,0.0,570.0,78.0,1.2,282.0,873.6,
2022-10-03 11:00:00,285.45,0.0,661.0,71.0,1.2,329.0,873.1,
2022-10-03 12:00:00,286.95,0.0,674.0,61.0,1.9,356.0,872.9,
2022-10-03 13:00:00,287.55,0.0,631.0,54.0,2.4,358.0,872.5,
2022-10-03 14:00:00,288.15,0.0,533.0,51.0,2.5,334.0,872.3,
2022-10-03 15:00:00,286.95,0.0,377.0,59.0,2.7,334.0,872.2,
2022-10-03 16:00:00,284.05,0.0,193.0,70.0,2.0,329.0,872.3,
2022-10-03 17:00:00,281.55,0.0,12.0,81.0,0.3,218.0,872.7,
2022-10-03 18:00:00,279.45,0.0,0.0,88.0,1.6,143.0,873.2,
2022-10-03 19:00:00,278.75,0.0,0.0,90.0,1.4,138.0,873.5,
2022-10-03 20:00:00,278.25,0.0,0.0,92.0,0.8,135.0,874.1,
2022-10-03 21:00:00,277.75,0.0,0.0,95.0,0.3,151.0,874.3,
2022-10-03 22:00:00,276.85,0.0,0.0,96.0,0.6,148.0,874.3,
2022-10-03 23:00:00,276.65,0.0,0.0,96.0,0.7,142.0,874.2,
2022-10-04 00:00:00,275.85,0.0,0.0,96.0,0.5,140.0,874.0,
2022-10-04 01:00:00,275.65,0.0,0.0,96.0,0.1,4.0,873.8,
2022-10-04 02:00:00,274.65,0.0,0.0,97.0,0.5,153.0,873.4,
2022-10-04 03:00:00,274.55,0.0,0.0,96.0,0.3,156.0,873.1,
2022-10-04 04:00:00,274.05,0.0,0.0,97.0,0.6,145.0,873.2,
2022-10-04 05:00:00,273.75,0.0,0.0,97.0,0.6,143.0,873.3,
2022-10-04 06:00:00,273.35,0.0,12.0,96.0,0.7,143.0,873.3,
2022-10-04 07:00:00,275.55,0.0,85.0,92.0,0.5,152.0,873.4,
