date,temp,precip,sw_in,rel_hum,wind_speed,wind_dir,air_pres,hs
2022-10-01 00:00:00,273.95,0.0,0.0,96.0,0.2,173.0,804.0,0.0
2022-10-01 01:00:00,274.55,0.0,0.0,96.0,0.5,217.0,804.1,0.0
2022-10-01 02:00:00,274.85,0.0,0.0,91.0,0.5,162.0,803.6,0.0
2022-10-01 03:00:00,274.15,0.0,0.0,92.0,0.3,164.0,803.5,0.0
2022-10-01 04:00:00,274.25,0.0,0.0,87.0,0.8,198.0,803.4,0.0
2022-10-01 05:00:00,273.35,0.0,0.0,89.0,0.3,164.0,803.1,0.0
2022-10-01 06:00:00,274.75,0.0,26.0,84.0,1.1,201.0,803.6,0.0
2022-10-01 07:00:00,276.15,0.0,94.0,82.0,0.6,181.0,803.7,0.0
2022-10-01 08:00:00,278.55,0.0,199.0,75.0,0.3,197.0,804.0,0.0
2022-10-01 09:00:00,279.95,0.0,216.0,63.0,0.2,305.0,804.0,0.0
2022-10-01 10:00:00,280.65,0.0,223.0,61.0,0.5,23.0,804.1,0.0
2022-10-01 11:00:00,280.75,0.0,278.0,57.0,2.2,44.0,803.8,0.0
2022-10-01 12:00:00,280.95,0.0,206.0,58.0,3.5,53.0,803.8,0.0
2022-10-01 13:00:00,280.35,0.0,191.0,63.0,2.2,52.0,804.0,0.0
2022-10-01 14:00:00,280.35,0.0,154.0,75.0,1.1,45.0,804.2,0.0
2022-10-01 15:00:00,279.15,0.1,101.0,83.0,1.4,41.0,804.5,0.0
2022-10-01 16:00:00,278.05,0.2,43.0,92.0,0.6,4.0,804.8,0.0
2022-10-01 17:00:00,277.65,0.5,5.0,94.0,0.6,28.0,805.4,0.0
2022-10-01 18:00:00,277.55,0.8,0.0,86.0,3.1,56.0,806.0,0.0
2022-10-01 19:00:00,277.15,0.7,0.0,94.0,0.9,45.0,806.5,0.0
2022-10-01 20:00:00,276.45,1.6,0.0,90.0,0.8,192.0,807.3,0.0
2022-10-01 21:00:00,276.25,1.2,0.0,91.0,1.6,193.0,807.5,0.0
2022-10-01 22:00:00,276.25,1.4,0.0,91.0,1.4,186.0,808.4,0.0
2022-10-01 23:00:00,276.05,1.3,0.0,92.0,0.8,188.0,809.0,0.0
2022-10-02 00:00:00,276.05,0.9,0.0,92.0,0.9,200.0,809.7,0.0
2022-10-02 01:00:00,276.25,0.4,0.0,93.0,0.3,127.0,809.6,0.0
2022-10-02 02:00:00,276.35,0.3,0.0,94.0,0.2,149.0,810.0,0.0
2022-10-02 03:00:00,276.95,0.5,0.0,93.0,0.5,217.0,809.9,0.0
