date,temp,precip,sw_in,rel_hum,wind_speed,wind_dir
2022-10-01 00:00:00,281.75,0.0,0.0,94.0,0.3,20.0
2022-10-01 01:00:00,281.75,0.0,0.0,95.0,0.4,26.0
2022-10-01 02:00:00,281.65,0.0,0.0,95.0,0.7,26.0
2022-10-01 03:00:00,281.45,0.0,0.0,97.0,0.4,19.0
2022-10-01 04:00:00,281.35,0.0,0.0,96.0,0.2,231.0
2022-10-01 05:00:00,280.85,0.0,0.0,95.0,1.1,202.0
2022-10-01 06:00:00,280.05,0.0,14.0,97.0,0.9,211.0
2022-10-01 07:00:00,280.85,0.0,79.0,92.0,0.7,221.0
2022-10-01 08:00:00,281.85,0.0,141.0,85.0,0.7,22.0
2022-10-01 09:00:00,282.85,0.0,113.0,82.0,0.3,3.0
2022-10-01 10:00:00,284.95,0.0,175.0,68.0,0.1,224.0
2022-10-01 11:00:00,285.25,0.0,149.0,72.0,0.5,7.0
2022-10-01 12:00:00,285.45,0.0,111.0,74.0,1.6,34.0
2022-10-01 13:00:00,286.95,0.0,237.0,67.0,0.5,13.0
2022-10-01 14:00:00,285.65,0.1,149.0,80.0,1.4,10.0
2022-10-01 15:00:00,284.65,0.6,88.0,94.0,1.3,38.0
2022-10-01 16:00:00,284.05,0.8,36.0,98.0,0.1,140.0
2022-10-01 17:00:00,283.25,1.4,6.0,98.0,0.3,57.0
2022-10-01 18:00:00,282.85,1.6,0.0,100.0,0.3,138.0
2022-10-01 19:00:00,282.95,1.6,0.0,100.0,0.2,51.0
2022-10-01 20:00:00,282.75,2.3,0.0,100.0,0.3,189.0
2022-10-01 21:00:00,282.85,1.6,0.0,100.0,0.8,189.0
2022-10-01 22:00:00,282.75,2.2,0.0,100.0,0.3,158.0
2022-10-01 23:00:00,282.75,1.3,0.0,100.0,0.1,217.0
2022-10-02 00:00:00,282.65,1.1,0.0,99.0,1.1,206.0
2022-10-02 01:00:00,282.55,0.5,0.0,100.0,1.6,193.0
2022-10-02 02:00:00,282.45,0.9,0.0,100.0,1.0,184.0
2022-10-02 03:00:00,282.45,0.6,0.0,98.0,0.8,189.0
2022-10-02 04:00:00,282.35,0.3,0.0,99.0,1.2,189.0
2022-10-02 05:00:00,282.35,0.2,0.0,100.0,1.4,193.0
2022-10-02 06:00:00,282.35,0.1,2.0,100.0,1.2,205.0
2022-10-02 07:00:00,282.85,0.0,30.0,98.0,1.5,196.0
2022-10-02 08:00:00,283.25,0.0,78.0,97.0,0.7,228.0
2022-10-02 09:00:00,284.05,0.0,120.0,94.0,0.2,222.0
2022-10-02 10:00:00,284.95,0.1,196.0,89.0,0.5,223.0
2022-10-02 11:00:00,286.85,0.1,347.0,85.0,0.3,214.0
2022-10-02 12:00:00,288.25,0.0,329.0,79.0,0.3,212.0
2022-10-02 13:00:00,289.95,0.0,542.0,76.0,1.2,349.0
2022-10-02 14:00:00,291.15,0.0,504.0,66.0,3.2,10.0
2022-10-02 15:00:00,290.25,0.0,319.0,70.0,3.4,22.0
2022-10-02 16:00:00,287.85,0.0,69.0,86.0,1.3,18.0
2022-10-02 17:00:00,286.25,0.0,18.0,92.0,0.1,214.0
2022-10-02 18:00:00,286.15,0.0,0.0,90.0,0.3,63.0
2022-10-02 19:00:00,285.25,0.1,0.0,94.0,0.4,194.0
2022-10-02 20:00:00,283.85,0.0,0.0,98.0,0.4,188.0
2022-10-02 21:00:00,284.25,0.1,0.0,93.0,0.7,192.0
2022-10-02 22:00:00,284.15,0.0,0.0,92.0,0.1,146.0
2022-10-02 23:00:00,283.65,0.4,0.0,99.0,0.4,205.0
2022-10-03 00:00:00,283.65,1.5,0.0,92.0,1.1,61.0
2022-10-03 01:00:00,282.85,0.5,0.0,100.0,1.0,57.0
2022-10-03 02:00:00,282.75,0.1,0.0,99.0,0.8,37.0
2022-10-03 03:00:00,282.55,0.1,0.0,97.0,0.0,0.0
2022-10-03 04:00:00,282.25,0.0,0.0,100.0,0.2,26.0
2022-10-03 05:00:00,281.95,0.0,0.0,100.0,0.3,52.0
2022-10-03 06:00:00,282.05,0.0,4.0,100.0,0.2,183.0
2022-10-03 07:00:00,282.25,0.0,36.0,97.0,0.5,19.0
2022-10-03 08:00:00,282.15,0.0,57.0,99.0,0.2,37.0
2022-10-03 09:00:00,283.65,0.0,167.0,95.0,1.1,81.0
2022-10-03 10:00:00,286.85,0.0,595.0,77.0,2.6,45.0
2022-10-03 11:00:00,288.15,0.0,651.0,73.0,4.2,30.0
2022-10-03 12:00:00,289.25,0.0,658.0,65.0,4.1,45.0
2022-10-03 13:00:00,290.05,0.0,617.0,58.0,4.3,46.0
2022-10-03 14:00:00,290.45,0.0,530.0,56.0,4.5,52.0
2022-10-03 15:00:00,290.25,0.0,392.0,52.0,4.2,40.0
2022-10-03 16:00:00,288.25,0.0,151.0,60.0,3.8,45.0
2022-10-03 17:00:00,285.75,0.0,16.0,73.0,2.7,43.0
2022-10-03 18:00:00,283.45,0.0,0.0,87.0,0.1,252.0
2022-10-03 19:00:00,281.95,0.0,0.0,93.0,0.8,207.0
2022-10-03 20:00:00,280.75,0.0,0.0,96.0,0.2,220.0
2022-10-03 21:00:00,280.15,0.0,0.0,98.0,0.1,212.0
2022-10-03 22:00:00,280.25,0.0,0.0,98.0,0.6,221.0
2022-10-03 23:00:00,280.95,0.0,0.0,95.0,0.3,24.0
2022-10-04 00:00:00,281.35,0.0,0.0,95.0,0.6,216.0
2022-10-04 01:00:00,280.15,0.0,0.0,94.0,0.6,215.0
2022-10-04 02:00:00,278.25,0.0,0.0,98.0,0.4,222.0
2022-10-04 03:00:00,277.65,0.0,0.0,99.0,0.5,214.0
2022-10-04 04:00:00,277.45,0.0,0.0,99.0,0.4,196.0
2022-10-04 05:00:00,276.55,0.0,0.0,99.0,0.5,217.0
2022-10-04 06:00:00,276.65,0.0,10.0,99.0,0.3,216.0
2022-10-04 07:00:00,277.55,0.0,74.0,97.0,0.3,218.0
2022-10-04 08:00:00,279.15,0.0,120.0,92.0,0.6,207.0
2022-10-04 09:00:00,281.95,0.0,220.0,68.0,0.6,194.0
2022-10-04 10:00:00,284.35,0.0,420.0,58.0,0.4,216.0
2022-10-04 11:00:00,286.65,0.0,404.0,50.0,0.4,216.0
2022-10-04 12:00:00,288.25,0.0,533.0,47.0,0.1,355.0
2022-10-04 13:00:00,290.25,0.0,562.0,45.0,1.2,345.0
2022-10-04 14:00:00,291.15,0.0,525.0,42.0,1.9,355.0
2022-10-04 15:00:00,290.55,0.0,359.0,48.0,3.0,34.0
2022-10-04 16:00:00,288.15,0.0,155.0,59.0,3.0,20.0
2022-10-04 17:00:00,285.65,0.0,22.0,77.0,0.3,14.0
2022-10-04 18:00:00,282.65,0.0,0.0,90.0,0.1,38.0
2022-10-04 19:00:00,281.75,0.0,0.0,93.0,0.1,223.0
2022-10-04 20:00:00,280.45,0.0,0.0,96.0,0.3,203.0
2022-10-04 21:00:00,279.75,0.0,0.0,96.0,0.4,208.0
2022-10-04 22:00:00,278.95,0.0,0.0,99.0,0.3,213.0
2022-10-04 23:00:00,278.55,0.0,0.0,98.0,0.5,209.0
2022-10-05 00:00:00,278.05,0.0,0.0,98.0,0.5,211.0
2022-10-05 01:00:00,277.65,0.0,0.0,98.0,0.6,210.0
2022-10-05 02:00:00,277.05,0.0,0.0,99.0,0.6,213.0
2022-10-05 03:00:00,276.75,0.0,0.0,99.0,0.9,210.0
2022-10-05 04:00:00,276.45,0.0,0.0,98.0,0.7,215.0
2022-10-05 05:00:00,276.05,0.0,0.0,99.0,0.4,213.0
2022-10-05 06:00:00,275.95,0.0,5.0,99.0,0.8,219.0
2022-10-05 07:00:00,276.35,0.0,21.0,98.0,0.5,215.0
2022-10-05 08:00:00,277.05,0.0,32.0,96.0,0.4,214.0
2022-10-05 09:00:00,280.05,0.0,131.0,88.0,0.6,197.0
2022-10-05 10:00:00,285.65,0.0,541.0,65.0,0.2,109.0
2022-10-05 11:00:00,289.65,0.0,637.0,45.0,0.3,88.0
2022-10-05 12:00:00,292.75,0.0,613.0,35.0,0.7,6.0
