date,temp,precip,sw_in,rel_hum,wind_speed,wind_dir,air_pres,hs
2022-10-01 00:00:00,278.25,0.0,0.0,100.0,,,851.4,0.0
2022-10-01 01:00:00,278.25,0.0,0.0,100.0,,,852.0,0.0
2022-10-01 02:00:00,278.25,0.0,0.0,100.0,,,851.6,0.0
2022-10-01 03:00:00,278.25,0.0,0.0,100.0,,,851.5,0.0
2022-10-01 04:00:00,278.45,0.0,0.0,98.0,,,851.2,0.0
2022-10-01 05:00:00,278.35,0.0,0.0,98.0,,,851.0,0.0
2022-10-01 06:00:00,278.75,0.0,9.0,97.0,,,851.6,0.0
2022-10-01 07:00:00,280.05,0.0,95.0,95.0,,,851.8,0.0
2022-10-01 08:00:00,281.55,0.0,209.0,83.0,,,851.9,0.0
2022-10-01 09:00:00,282.15,0.0,222.0,77.0,,,851.9,0.0
2022-10-01 10:00:00,282.75,0.0,222.0,76.0,,,851.8,0.0
2022-10-01 11:00:00,283.25,0.0,285.0,70.0,,,851.6,0.0
2022-10-01 12:00:00,283.05,0.0,193.0,72.0,,,851.8,0.0
2022-10-01 13:00:00,283.75,0.0,197.0,71.0,,,851.5,0.0
2022-10-01 14:00:00,283.75,0.0,228.0,73.0,,,851.6,0.0
2022-10-01 15:00:00,281.35,0.1,87.0,85.0,,,852.3,0.0
2022-10-01 16:00:00,280.35,0.6,42.0,93.0,,,852.6,0.0
2022-10-01 17:00:00,280.05,1.1,7.0,96.0,,,853.3,0.0
2022-10-01 18:00:00,279.95,1.6,0.0,97.0,,,854.3,0.0
2022-10-01 19:00:00,279.75,0.7,0.0,97.0,,,854.6,0.0
2022-10-01 20:00:00,279.55,1.4,0.0,96.0,,,855.2,0.0
2022-10-01 21:00:00,279.35,1.2,0.0,94.0,,,855.7,0.0
2022-10-01 22:00:00,279.25,2.2,0.0,98.0,,,856.9,0.0
2022-10-01 23:00:00,279.15,1.6,0.0,98.0,,,857.7,0.0
2022-10-02 00:00:00,278.95,0.7,0.0,93.0,,,857.8,0.0
2022-10-02 01:00:00,278.65,1.5,0.0,98.0,,,858.2,0.0
2022-10-02 02:00:00,278.95,1.0,0.0,95.0,,,858.6,0.0
2022-10-02 03:00:00,278.75,0.2,0.0,98.0,,,858.6,0.0
2022-10-02 04:00:00,278.75,0.1,0.0,98.0,,,858.4,0.0
2022-10-02 05:00:00,278.15,0.2,0.0,100.0,,,858.4,0.0
2022-10-02 06:00:00,278.35,0.0,8.0,100.0,,,858.4,0.0
2022-10-02 07:00:00,279.15,0.0,63.0,98.0,,,858.7,0.0
2022-10-02 08:00:00,280.85,0.0,145.0,91.0,,,858.6,0.0
2022-10-02 09:00:00,282.85,0.0,300.0,83.0,,,858.1,0.0
