date,temp,precip,sw_in,rel_hum,wind_speed,wind_dir,air_pres
2022-10-01 00:00:00,278.25,0.0,0.0,94.0,0.9,170.0,852.7
2022-10-01 01:00:00,277.15,0.0,0.0,97.0,0.3,178.0,852.9
2022-10-01 02:00:00,277.15,0.0,0.0,98.0,0.7,6.0,853.0
2022-10-01 03:00:00,277.35,0.0,0.0,98.0,0.3,72.0,852.3
2022-10-01 04:00:00,277.05,0.0,0.0,98.0,0.2,151.0,852.5
2022-10-01 05:00:00,275.95,0.0,0.0,95.0,1.6,177.0,852.3
2022-10-01 06:00:00,275.45,0.0,17.0,97.0,0.1,240.0,852.9
2022-10-01 07:00:00,276.85,0.0,68.0,96.0,0.1,34.0,852.3
2022-10-01 08:00:00,278.25,0.0,147.0,90.0,0.5,16.0,852.7
2022-10-01 09:00:00,279.75,0.0,134.0,87.0,0.1,33.0,853.0
2022-10-01 10:00:00,280.55,0.0,143.0,83.0,0.7,27.0,853.1
2022-10-01 11:00:00,281.85,0.0,185.0,80.0,0.5,29.0,853.1
2022-10-01 12:00:00,282.25,0.0,135.0,82.0,1.0,18.0,853.5
2022-10-01 13:00:00,282.55,0.0,147.0,73.0,0.3,64.0,852.6
2022-10-01 14:00:00,281.95,0.2,115.0,88.0,0.7,21.0,853.3
2022-10-01 15:00:00,281.55,0.5,58.0,90.0,0.3,30.0,853.7
2022-10-01 16:00:00,281.25,0.9,24.0,95.0,0.1,144.0,854.1
2022-10-01 17:00:00,280.55,1.4,4.0,97.0,0.6,15.0,854.7
2022-10-01 18:00:00,280.05,1.3,0.0,97.0,0.9,6.0,855.3
2022-10-01 19:00:00,279.85,0.7,0.0,97.0,0.6,348.0,855.5
2022-10-01 20:00:00,279.55,1.2,0.0,98.0,0.2,2.0,856.2
2022-10-01 21:00:00,279.45,1.2,0.0,99.0,0.1,165.0,856.9
2022-10-01 22:00:00,279.35,1.1,0.0,98.0,0.7,15.0,857.8
2022-10-01 23:00:00,279.25,0.8,0.0,98.0,0.5,23.0,858.6
2022-10-02 00:00:00,279.25,1.2,0.0,99.0,0.2,143.0,859.2
2022-10-02 01:00:00,279.25,0.6,0.0,98.0,0.6,153.0,859.6
2022-10-02 02:00:00,279.15,0.9,0.0,99.0,0.2,215.0,860.3
2022-10-02 03:00:00,279.05,0.7,0.0,98.0,0.6,164.0,859.8
2022-10-02 04:00:00,279.15,0.2,0.0,98.0,0.9,166.0,859.8
2022-10-02 05:00:00,279.35,0.1,0.0,97.0,0.7,191.0,859.9
2022-10-02 06:00:00,280.05,0.2,2.0,94.0,1.1,171.0,859.9
2022-10-02 07:00:00,280.55,0.1,28.0,97.0,1.0,179.0,859.7
2022-10-02 08:00:00,281.25,0.0,64.0,98.0,0.3,216.0,859.6
2022-10-02 09:00:00,282.65,0.1,121.0,94.0,0.4,173.0,859.7
2022-10-02 10:00:00,284.05,0.1,196.0,93.0,0.4,189.0,859.9
2022-10-02 11:00:00,284.95,0.2,215.0,92.0,0.6,164.0,859.3
2022-10-02 12:00:00,285.15,0.1,157.0,92.0,0.3,12.0,858.8
2022-10-02 13:00:00,284.65,0.3,109.0,95.0,0.6,202.0,858.1
2022-10-02 14:00:00,284.35,0.2,101.0,95.0,0.5,33.0,858.4
2022-10-02 15:00:00,283.75,0.5,60.0,97.0,0.5,17.0,858.5
2022-10-02 16:00:00,282.95,0.0,44.0,98.0,0.1,111.0,858.1
2022-10-02 17:00:00,281.95,0.0,5.0,98.0,0.3,145.0,858.2
2022-10-02 18:00:00,281.45,0.0,0.0,99.0,0.2,198.0,858.6
2022-10-02 19:00:00,281.05,0.0,0.0,99.0,0.2,192.0,858.2
2022-10-02 20:00:00,280.75,1.3,0.0,98.0,0.2,204.0,859.0
2022-10-02 21:00:00,280.65,0.4,0.0,99.0,0.1,112.0,860.1
2022-10-02 22:00:00,280.25,0.4,0.0,96.0,0.9,180.0,859.6
2022-10-02 23:00:00,280.15,1.2,0.0,97.0,0.8,155.0,860.0
2022-10-03 00:00:00,280.05,2.6,0.0,99.0,0.5,355.0,860.7
2022-10-03 01:00:00,279.75,0.8,0.0,98.0,0.6,13.0,861.1
2022-10-03 02:00:00,279.65,0.4,0.0,99.0,0.5,186.0,861.1
2022-10-03 03:00:00,279.25,0.1,0.0,98.0,0.5,169.0,860.7
2022-10-03 04:00:00,279.15,0.3,0.0,99.0,0.3,160.0,861.0
2022-10-03 05:00:00,278.85,0.3,0.0,99.0,0.2,334.0,861.1
2022-10-03 06:00:00,278.05,0.1,7.0,99.0,0.2,215.0,861.3
2022-10-03 07:00:00,278.05,0.0,16.0,100.0,0.1,172.0,861.5
2022-10-03 08:00:00,277.35,0.0,25.0,100.0,0.2,199.0,862.1
2022-10-03 09:00:00,280.05,0.0,221.0,100.0,0.3,153.0,862.4
2022-10-03 10:00:00,284.75,0.0,644.0,81.0,1.0,40.0,862.1
2022-10-03 11:00:00,284.85,0.0,702.0,76.0,2.9,13.0,861.8
2022-10-03 12:00:00,285.75,0.0,697.0,68.0,2.8,11.0,861.5
2022-10-03 13:00:00,285.05,0.0,630.0,72.0,3.7,16.0,861.0
2022-10-03 14:00:00,282.05,0.0,319.0,84.0,1.4,345.0,861.3
2022-10-03 15:00:00,280.65,0.0,36.0,89.0,1.5,355.0,861.3
2022-10-03 16:00:00,279.65,0.0,26.0,95.0,0.4,192.0,861.5
2022-10-03 17:00:00,278.15,0.0,14.0,97.0,0.3,234.0,861.8
2022-10-03 18:00:00,277.25,0.0,0.0,97.0,0.2,214.0,862.1
2022-10-03 19:00:00,276.45,0.0,0.0,98.0,0.1,240.0,862.0
2022-10-03 20:00:00,275.55,0.0,0.0,99.0,0.1,261.0,862.2
2022-10-03 21:00:00,275.75,0.0,0.0,99.0,0.2,270.0,862.3
2022-10-03 22:00:00,275.05,0.0,0.0,99.0,0.1,283.0,862.4
2022-10-03 23:00:00,274.35,0.0,0.0,99.0,0.2,189.0,862.1
2022-10-04 00:00:00,273.15,0.0,0.0,99.0,0.1,8.0,861.6
2022-10-04 01:00:00,273.35,0.0,0.0,99.0,0.2,38.0,861.3
2022-10-04 02:00:00,272.35,0.0,0.0,99.0,0.1,39.0,861.0
2022-10-04 03:00:00,273.15,0.0,0.0,99.0,0.2,218.0,860.3
2022-10-04 04:00:00,272.45,0.0,0.0,99.0,0.2,354.0,860.4
2022-10-04 05:00:00,272.45,0.0,0.0,99.0,0.1,35.0,860.7
2022-10-04 06:00:00,272.35,0.0,5.0,99.0,0.1,15.0,860.7
2022-10-04 07:00:00,273.95,0.0,56.0,100.0,0.1,3.0,860.4
