date,temp,precip,sw_in,rel_hum,wind_speed,wind_dir,air_pres
2022-10-01 00:00:00,280.55,0.0,0.0,97.0,1.2,355.0,897.7
2022-10-01 01:00:00,280.65,0.0,0.0,97.0,0.6,1.0,898.1
2022-10-01 02:00:00,280.75,0.0,0.0,96.0,0.4,161.0,897.8
2022-10-01 03:00:00,280.75,0.0,0.0,96.0,0.7,149.0,897.6
2022-10-01 04:00:00,280.45,0.0,0.0,97.0,0.3,343.0,897.4
2022-10-01 05:00:00,280.55,0.0,0.0,95.0,0.4,51.0,897.3
2022-10-01 06:00:00,280.65,0.0,16.0,96.0,0.2,48.0,897.8
2022-10-01 07:00:00,281.45,0.0,75.0,85.0,1.2,123.0,897.7
2022-10-01 08:00:00,282.65,0.0,204.0,80.0,2.2,129.0,897.6
2022-10-01 09:00:00,282.85,0.0,220.0,84.0,0.5,8.0,897.5
2022-10-01 10:00:00,282.85,0.0,215.0,81.0,2.0,333.0,897.6
2022-10-01 11:00:00,284.05,0.0,264.0,79.0,1.8,331.0,897.0
2022-10-01 12:00:00,284.15,0.0,187.0,77.0,2.7,333.0,897.4
2022-10-01 13:00:00,285.35,0.0,254.0,66.0,2.5,333.0,897.0
2022-10-01 14:00:00,284.55,0.0,205.0,73.0,2.8,334.0,897.6
2022-10-01 15:00:00,283.95,0.0,88.0,81.0,2.0,347.0,898.2
2022-10-01 16:00:00,283.45,0.3,47.0,89.0,0.3,2.0,898.4
2022-10-01 17:00:00,282.55,0.9,8.0,96.0,0.3,302.0,899.5
2022-10-01 18:00:00,282.15,1.1,0.0,97.0,1.0,354.0,900.3
2022-10-01 19:00:00,281.75,0.4,0.0,98.0,0.1,350.0,900.8
2022-10-01 20:00:00,281.55,0.8,0.0,98.0,0.2,324.0,901.5
2022-10-01 21:00:00,281.45,1.0,0.0,99.0,0.1,301.0,902.1
2022-10-01 22:00:00,281.35,1.5,0.0,99.0,0.5,328.0,903.2
2022-10-01 23:00:00,281.35,0.9,0.0,98.0,0.2,163.0,903.8
2022-10-02 00:00:00,281.05,0.5,0.0,93.0,1.7,127.0,904.3
2022-10-02 01:00:00,280.75,0.9,0.0,92.0,2.4,133.0,904.7
2022-10-02 02:00:00,280.55,0.4,0.0,97.0,1.3,121.0,905.2
2022-10-02 03:00:00,280.65,0.1,0.0,95.0,2.0,133.0,904.8
2022-10-02 04:00:00,280.55,0.1,0.0,95.0,1.4,131.0,904.7
2022-10-02 05:00:00,280.25,0.1,0.0,98.0,1.2,164.0,904.8
2022-10-02 06:00:00,280.35,0.0,13.0,97.0,1.5,150.0,904.6
2022-10-02 07:00:00,281.25,0.0,71.0,94.0,1.5,155.0,904.7
2022-10-02 08:00:00,282.45,0.0,121.0,91.0,1.1,164.0,904.7
2022-10-02 09:00:00,284.95,0.0,326.0,79.0,1.7,167.0,904.1
2022-10-02 10:00:00,286.55,0.0,378.0,73.0,1.9,124.0,903.6
2022-10-02 11:00:00,286.35,0.0,497.0,81.0,2.1,329.0,903.7
2022-10-02 12:00:00,288.45,0.0,464.0,68.0,1.3,323.0,902.6
2022-10-02 13:00:00,288.65,0.0,259.0,73.0,0.7,319.0,902.0
2022-10-02 14:00:00,285.65,0.1,193.0,95.0,2.7,321.0,902.4
2022-10-02 15:00:00,287.45,0.0,180.0,85.0,0.7,333.0,901.6
2022-10-02 16:00:00,285.75,0.1,70.0,94.0,0.9,334.0,902.0
2022-10-02 17:00:00,284.45,0.0,11.0,97.0,0.6,149.0,901.9
2022-10-02 18:00:00,283.65,0.0,0.0,97.0,0.8,145.0,902.1
2022-10-02 19:00:00,283.75,0.0,0.0,98.0,0.3,24.0,902.7
2022-10-02 20:00:00,283.35,0.0,0.0,99.0,0.8,357.0,902.9
2022-10-02 21:00:00,282.95,0.0,0.0,100.0,0.1,69.0,903.5
2022-10-02 22:00:00,283.45,0.0,0.0,92.0,1.8,5.0,903.6
2022-10-02 23:00:00,282.75,2.0,0.0,96.0,2.6,350.0,904.8
2022-10-03 00:00:00,282.05,0.8,0.0,96.0,1.5,356.0,905.3
2022-10-03 01:00:00,281.45,0.1,0.0,98.0,2.1,333.0,905.3
2022-10-03 02:00:00,281.15,0.1,0.0,98.0,1.9,332.0,905.5
2022-10-03 03:00:00,281.45,0.0,0.0,95.0,2.2,317.0,905.6
2022-10-03 04:00:00,281.55,0.0,0.0,96.0,2.7,321.0,905.9
2022-10-03 05:00:00,281.15,0.2,0.0,99.0,2.6,324.0,905.9
2022-10-03 06:00:00,281.45,0.0,6.0,96.0,2.6,323.0,906.4
2022-10-03 07:00:00,281.05,0.0,41.0,100.0,2.2,340.0,906.9
2022-10-03 08:00:00,281.05,0.0,110.0,100.0,2.5,344.0,907.6
2022-10-03 09:00:00,282.35,0.0,337.0,92.0,2.9,342.0,907.7
2022-10-03 10:00:00,283.85,0.0,598.0,82.0,3.7,322.0,907.6
2022-10-03 11:00:00,285.25,0.0,629.0,69.0,3.8,328.0,907.0
2022-10-03 12:00:00,286.65,0.0,623.0,61.0,3.3,328.0,906.6
2022-10-03 13:00:00,287.25,0.0,570.0,58.0,3.3,321.0,906.4
2022-10-03 14:00:00,286.45,0.0,458.0,63.0,2.9,308.0,906.3
2022-10-03 15:00:00,285.45,0.0,248.0,70.0,3.3,306.0,906.0
2022-10-03 16:00:00,283.35,0.0,41.0,83.0,2.1,336.0,906.3
2022-10-03 17:00:00,281.95,0.0,16.0,90.0,0.2,17.0,906.6
2022-10-03 18:00:00,280.45,0.0,0.0,95.0,0.1,12.0,907.1
2022-10-03 19:00:00,279.65,0.0,0.0,96.0,0.2,146.0,907.6
2022-10-03 20:00:00,278.85,0.0,0.0,97.0,0.3,150.0,907.8
2022-10-03 21:00:00,278.75,0.0,0.0,96.0,0.5,158.0,907.8
2022-10-03 22:00:00,279.25,0.0,0.0,96.0,0.8,171.0,907.6
2022-10-03 23:00:00,279.35,0.0,0.0,95.0,0.5,136.0,907.3
2022-10-04 00:00:00,279.45,0.0,0.0,91.0,1.2,134.0,907.3
2022-10-04 01:00:00,278.15,0.0,0.0,93.0,1.3,139.0,907.0
2022-10-04 02:00:00,277.45,0.0,0.0,95.0,1.2,141.0,906.5
2022-10-04 03:00:00,277.05,0.0,0.0,95.0,1.0,142.0,906.5
2022-10-04 04:00:00,276.85,0.0,0.0,94.0,1.7,128.0,906.4
2022-10-04 05:00:00,276.65,0.0,0.0,94.0,1.3,138.0,906.4
2022-10-04 06:00:00,276.65,0.0,15.0,95.0,1.7,123.0,906.5
2022-10-04 07:00:00,277.35,0.0,54.0,91.0,2.0,116.0,906.5
2022-10-04 08:00:00,281.05,0.0,313.0,78.0,1.9,115.0,906.5
2022-10-04 09:00:00,283.45,0.0,371.0,70.0,0.7,113.0,906.2
2022-10-04 10:00:00,284.65,0.0,395.0,67.0,0.5,351.0,906.2
2022-10-04 11:00:00,286.75,0.0,425.0,62.0,1.2,330.0,905.9
