date,temp,precip,sw_in,rel_hum,wind_speed,wind_dir,air_pres,hs
2022-10-01 00:00:00,280.55,0.0,0.0,91.0,0.2,115.0,897.3,
2022-10-01 01:00:00,280.25,0.0,0.0,92.0,0.5,134.0,897.5,
2022-10-01 02:00:00,279.05,0.0,0.0,94.0,0.6,112.0,897.4,
2022-10-01 03:00:00,278.05,0.0,0.0,94.0,0.8,132.0,897.0,
2022-10-01 04:00:00,277.35,0.0,0.0,95.0,0.5,110.0,896.9,
2022-10-01 05:00:00,277.15,0.0,0.0,95.0,0.5,103.0,897.1,
2022-10-01 06:00:00,277.85,0.0,21.0,95.0,0.7,131.0,897.3,
2022-10-01 07:00:00,279.65,0.0,75.0,89.0,0.5,119.0,897.3,
2022-10-01 08:00:00,281.15,0.0,162.0,84.0,0.3,322.0,897.3,
2022-10-01 09:00:00,281.95,0.0,140.0,79.0,0.4,329.0,897.1,
2022-10-01 10:00:00,282.75,0.0,167.0,74.0,0.1,255.0,897.0,
2022-10-01 11:00:00,283.15,0.0,154.0,75.0,0.8,326.0,897.3,
2022-10-01 12:00:00,283.45,0.0,119.0,75.0,0.5,306.0,897.6,
2022-10-01 13:00:00,284.35,0.0,236.0,72.0,0.4,199.0,896.8,
2022-10-01 14:00:00,283.75,0.2,121.0,81.0,1.4,307.0,897.3,
2022-10-01 15:00:00,283.35,0.3,96.0,83.0,0.7,336.0,897.8,
2022-10-01 16:00:00,282.85,0.7,33.0,91.0,0.3,269.0,898.1,
2022-10-01 17:00:00,282.35,0.9,4.0,94.0,0.2,217.0,899.1,
2022-10-01 18:00:00,282.25,0.8,0.0,94.0,0.7,251.0,899.5,
2022-10-01 19:00:00,282.15,0.5,0.0,95.0,0.3,281.0,900.0,
2022-10-01 20:00:00,282.15,0.6,0.0,94.0,0.3,253.0,900.9,
2022-10-01 21:00:00,281.95,1.0,0.0,95.0,0.6,323.0,901.3,
2022-10-01 22:00:00,281.65,1.4,0.0,96.0,1.6,323.0,902.2,
