date,temp,rel_hum,hs,sw_in,precip,wind_dir,wind_speed
2022-10-01 00:00:00,272.35,89.9,10.0,-0.75,0.0,61.4760399908447,1.04003491664304
2022-10-01 01:00:00,272.3,84.45,22.0,-0.75,0.0,3.82015190605398,1.58399797025714
2022-10-01 02:00:00,272.75,82.75,10.0,-0.7,0.0,37.5973884189328,1.34227581456047
2022-10-01 03:00:00,272.65,79.95,10.0,-0.7,0.0,76.9046617148212,1.59037538696746
2022-10-01 04:00:00,272.6,77.25,10.0,-0.7,0.0,51.4,1.99975326496332
2022-10-01 05:00:00,271.9,79.7,10.0,-0.7,0.0,25.9312104748456,1.36184982900641
2022-10-01 06:00:00,272.4,74.9,10.0,13.25,0.0,34.2132062210263,0.430585354651226
2022-10-01 07:00:00,273.25,70.1,11.5,68.95,0.0,81.9189619795239,0.497498728876697
2022-10-01 08:00:00,274.35,61.9,19.0,89.4,0.0,21.5565217540021,1.14999606646427
2022-10-01 09:00:00,274.65,58.7,10.0,104.8,0.0,6.80762417345653,1.43789556711623
2022-10-01 10:00:00,274.7,59.7,10.0,182.85,0.2,27.1649347488678,3.84994794614965
2022-10-01 11:00:00,273.55,82.45,10.0,182.15,0.0,33.9290692077889,1.65474149750029
2022-10-01 12:00:00,274.35,87.5,10.0,148.35,0.8,29.9372484017127,2.54992050202896
2022-10-01 13:00:00,275.1,82.45,10.0,128.7,1.0,30.6942239707382,3.79422273343179
2022-10-01 14:00:00,274.85,85.3,10.0,111.8,1.2,43.8477415538964,2.73629985902963
2022-10-01 15:00:00,274.35,89.9,10.0,66.0,0.8,49.8123047683775,2.26462165272501
2022-10-01 16:00:00,274.0,91.25,35.0,30.25,0.4,45.1694176529382,3.89355010589038
2022-10-01 17:00:00,273.75,93.4,40.5,8.55,0.2,69.4303614162778,3.8678591942702
2022-10-01 18:00:00,273.65,95.55,40.0,-0.65,0.2,72.2757594638164,3.29963719809458
2022-10-01 19:00:00,274.05,94.8,31.0,-0.7,0.8,81.8504450287395,2.56353375577587
2022-10-01 20:00:00,274.05,95.15,38.5,-0.7,0.8,89.1087440042203,2.81767301828767
2022-10-01 21:00:00,274.45,93.85,35.0,-0.7,2.2,72.4500000000001,3.99603910432395
2022-10-01 22:00:00,274.75,91.75,37.0,-0.7,2.6,122.841400932147,3.03191580902843
