id,name,x,y,alt
AT_Geosphere.Brenner,Brenner,690857.3747174043,5209026.200284305,1412.0
AT_Geosphere.Brunnenkogel,Brunnenkogel,641763.0615765052,5197154.018691,3437.0
AT_Geosphere.Galtur,Galtür,590186.1479793581,5202296.834759913,1587.0
AT_Geosphere.Haiming,Haiming,642946.1883649237,5235757.855712436,659.0
AT_Geosphere.Imst,Imst,631865.0311560725,5232967.049142446,773.0
AT_Geosphere.Ischgl_Idalpe,Ischgl-Idalpe,600174.5041427369,5204061.385315066,2327.0
AT_Geosphere.Landeck,Landeck,618564.1214544036,5221935.83374087,795.6
AT_Geosphere.Nauders,Nauders,614035.8943797711,5194151.346233238,1330.2
AT_Geosphere.Neustift_Milders,Neustift/Milders,673908.2860678115,5219134.581365909,1006.6
AT_Geosphere.Obergurgl,Obergurgl,654288.8463407954,5192367.378559719,1941.0
AT_Geosphere.Pitztaler_Gletscher,Pitztaler Gletscher,643055.3160419523,5198772.551284809,2863.9
AT_Geosphere.Prutz,Prutz,626397.9324480391,5214133.15647022,871.0
AT_Geosphere.Schmirn,Schmirn,695843.0690564092,5218087.408511683,1464.0
AT_Geosphere.St_Leonhard_im_Pitztal,St.Leonhard im Pitztal,641756.4875531911,5209877.837449025,1454.4
AT_Geosphere.Steinach_am_Brenner,Steinach am Brenner,687139.0232130995,5219042.302358168,1036.0
AT_Geosphere.Umhausen,Umhausen,646261.7305638525,5222434.741665803,1035.0
AT_HD.Alpeilquelle,Alpeilquelle,630157.6649379705,5239997.098034367,1600.0
AT_HD.Axams,Axams,673564.710771709,5233439.688643712,853.0
AT_HD.Dresdner_Hutte,Dresdner Hütte,662670.3136994404,5207049.749862864,2290.0
AT_HD.Fiss,Fiss,623145.3471686335,5213052.945898228,1506.0
AT_HD.Flirsch,Flirsch,606928.5992709995,5222992.704753936,1204.0
AT_HD.Gossenkolle,Gossenkölle,652148.9270274903,5232447.627134269,2427.0
AT_HD.Gries_im_Sellrain,Gries im Sellrain,663329.4094575371,5229090.392069297,1200.0
AT_HD.Gries_im_Sulztal,Gries im Sulztal,653660.7125989844,5215039.94479581,1585.0
