date,region_id,wet_snow_fraction,n_valid,n_wet,source
2021-03-02,,0.1004,158953,15958,WSM_S1A_SAR_track168_2021_03_02_05_27_26.tif
2021-03-04,,0.0966,156982,15166,WSM_S1B_SAR_track117_2021_03_04_17_06_13.tif
2021-03-10,,0.061,156982,9579,WSM_S1A_SAR_track117_2021_03_10_17_07_12.tif
2021-03-14,,0.0238,158953,3779,WSM_S1A_SAR_track168_2021_03_14_05_27_26.tif
2021-03-16,,0.0056,156982,885,WSM_S1B_SAR_track117_2021_03_16_17_06_14.tif
2021-03-22,,0.0042,156982,661,WSM_S1A_SAR_track117_2021_03_22_17_07_13.tif
2021-03-26,,0.0163,158953,2587,WSM_S1A_SAR_track168_2021_03_26_05_27_26.tif
2021-03-28,,0.1197,156982,18791,WSM_S1B_SAR_track117_2021_03_28_17_06_31.tif
2021-04-01,,0.1709,158953,27172,WSM_S1B_SAR_track168_2021_04_01_05_26_44.tif
2021-04-03,,0.3505,156982,55019,WSM_S1A_SAR_track117_2021_04_03_17_07_13.tif
2021-04-09,,0.0874,156982,13716,WSM_S1B_SAR_track117_2021_04_09_17_06_31.tif
2021-04-13,,0.1126,158953,17900,WSM_S1B_SAR_track168_2021_04_13_05_26_45.tif
2021-04-15,,0.0746,156982,11710,WSM_S1A_SAR_track117_2021_04_15_17_07_13.tif
2021-04-19,,0.1184,158953,18820,WSM_S1A_SAR_track168_2021_04_19_05_27_27.tif
2021-04-21,,0.405,156982,63571,WSM_S1B_SAR_track117_2021_04_21_17_06_32.tif
2021-04-25,,0.1921,158953,30541,WSM_S1B_SAR_track168_2021_04_25_05_26_45.tif
2021-04-27,,0.6344,156982,99585,WSM_S1A_SAR_track117_2021_04_27_17_07_14.tif
2021-05-01,,0.5733,158953,91131,WSM_S1A_SAR_track168_2021_05_01_05_27_27.tif
2021-05-03,,0.5764,156982,90478,WSM_S1B_SAR_track117_2021_05_03_17_06_32.tif
2021-05-07,,0.4332,158953,68858,WSM_S1B_SAR_track168_2021_05_07_05_26_46.tif
2021-05-09,,0.7842,156982,123100,WSM_S1A_SAR_track117_2021_05_09_17_07_14.tif
2021-05-13,,0.7263,158953,115450,WSM_S1A_SAR_track168_2021_05_13_05_27_28.tif
2021-05-15,,0.7538,156982,118327,WSM_S1B_SAR_track117_2021_05_15_17_06_33.tif
2021-05-19,,0.7547,158953,119961,WSM_S1B_SAR_track168_2021_05_19_05_26_47.tif
2021-05-21,,0.6305,156982,98982,WSM_S1A_SAR_track117_2021_05_21_17_07_15.tif
2021-05-25,,0.6693,158953,106394,WSM_S1A_SAR_track168_2021_05_25_05_27_29.tif
2021-05-27,,0.6294,156982,98803,WSM_S1B_SAR_track117_2021_05_27_17_06_33.tif
2021-05-31,,0.6318,158953,100433,WSM_S1B_SAR_track168_2021_05_31_05_26_47.tif
2021-06-02,,0.7209,156982,113164,WSM_S1A_SAR_track117_2021_06_02_17_07_16.tif
2021-06-06,,0.6984,158953,111009,WSM_S1A_SAR_track168_2021_06_06_05_27_29.tif
2021-06-12,,0.66,158953,104909,WSM_S1B_SAR_track168_2021_06_12_05_26_48.tif
2021-06-14,,0.516,156982,81003,WSM_S1A_SAR_track117_2021_06_14_17_07_17.tif
2021-06-18,,0.4991,158953,79329,WSM_S1A_SAR_track168_2021_06_18_05_27_30.tif
2021-06-20,,0.3329,156982,52256,WSM_S1B_SAR_track117_2021_06_20_17_06_35.tif
2021-06-24,,0.3433,158953,54562,WSM_S1B_SAR_track168_2021_06_24_05_26_49.tif
2021-06-26,,0.2372,156982,37236,WSM_S1A_SAR_track117_2021_06_26_17_07_17.tif
2021-06-30,,0.2335,158953,37112,WSM_S1A_SAR_track168_2021_06_30_05_27_31.tif
2021-07-02,,0.1905,156982,29903,WSM_S1B_SAR_track117_2021_07_02_17_06_36.tif
2021-07-06,,0.2,158953,31796,WSM_S1B_SAR_track168_2021_07_06_05_26_49.tif
2021-07-08,,0.0905,156982,14206,WSM_S1A_SAR_track117_2021_07_08_17_07_18.tif
2021-07-12,,0.1018,158953,16182,WSM_S1A_SAR_track168_2021_07_12_05_27_32.tif
2021-07-14,,0.0893,156982,14026,WSM_S1B_SAR_track117_2021_07_14_17_06_36.tif
2021-07-18,,0.0667,158953,10603,WSM_S1B_SAR_track168_2021_07_18_05_26_50.tif
2021-07-20,,0.053,156982,8317,WSM_S1A_SAR_track117_2021_07_20_17_07_19.tif
2021-07-24,,0.0369,158953,5869,WSM_S1A_SAR_track168_2021_07_24_05_27_32.tif
2021-07-26,,0.0315,156982,4941,WSM_S1B_SAR_track117_2021_07_26_17_06_37.tif
2021-07-30,,0.0371,158953,5899,WSM_S1B_SAR_track168_2021_07_30_05_26_51.tif
