station_id,station_uncertainty_pct,hs_sigma_abs_min,swe_sigma_abs_min,use_for_da,use_for_benchmark
01890168,25.0,0.1,20.0,True,True
03545036,25.0,0.1,20.0,True,True
03994325-1,25.0,0.1,20.0,False,True
06988000,25.0,0.1,20.0,True,True
07001000-1,25.0,0.1,20.0,True,True
101824,25.0,0.1,20.0,True,True
103010,25.0,0.1,20.0,False,True
103259,25.0,0.1,20.0,True,True
11092014,25.0,0.1,20.0,False,True
11140943,25.0,0.1,20.0,False,True
12092014,25.0,0.1,20.0,False,True
124124,25.0,0.1,20.0,True,True
16171208,25.0,0.1,20.0,False,True
17190595,25.0,0.1,20.0,True,True
197012,25.0,0.1,20.0,True,True
197014,25.0,0.1,20.0,True,True
197023,25.0,0.1,20.0,True,True
20085015-1,25.0,0.1,20.0,True,True
23151011,25.0,0.1,20.0,True,True
24130782-1,25.0,0.1,20.0,True,True
30181252,25.0,0.1,20.0,False,True
39080186,25.0,0.1,20.0,True,True
40120689,25.0,0.1,20.0,True,True
41151038,25.0,0.1,20.0,True,True
41151041,25.0,0.1,20.0,True,True
41221314,25.0,0.1,20.0,True,True
49080237-2,25.0,0.1,20.0,True,True
50978865-1,25.0,0.1,20.0,True,True
50978865-2,25.0,0.1,20.0,True,True
54508439-1,25.0,0.1,20.0,True,True
54508439-2,25.0,0.1,20.0,True,True
54508439-3,25.0,0.1,20.0,True,True
66795066-1,25.0,0.1,20.0,True,True
latschbloder,25.0,0.1,20.0,False,True
proviantdepot,25.0,0.1,20.0,True,True
