id,name,lat,lon,alt,x,y
01890168,Weisssee LWD,46.87290597,10.71439501,2480.0,630645.367774723,5192467.50100177
03545036,Schöckbichl,47.027353,11.178164,2520.0,665508.871654596,5210506.16027626
03994325-1,Falkaunsalpe,47.071488,10.76282,2038.0,633839.045584638,5214616.13758488
06988000,Medrig-Zeinis,47.0725,10.4828,1985.0,612577.251195544,5214287.58360072
07001000-1,Vorderegg,46.87359998,10.92110001,2200.0,646395.063422461,5192909.46490574
101824,Weisssee,46.87291177,10.7144348,2464.0,630648.385831993,5192468.21173867
103010,Kühtai Längental,47.2071487,11.00589506,1917.6,651906.571165927,5230135.87251155
103259,Gepatsch-Damm,46.96035394,10.73841076,1651.0,632260.049470077,5202225.09878606
11092014,Weisssee SPA,46.872906,10.71439,2465.0,630644.985922464,5192467.49599555
11140943,Franz-Senn-Hütte Kl Horntal,47.09600002,11.16238887,2503.0,664099.366185564,5218101.11621229
12092014,Serfaus Masner,47.02011115,10.48847774,2491.0,613119.028975059,5208474.07697048
124124,Fiss Schneestation,47.06539444,10.58464724,2097.0,620325.562815775,5213649.57286768
16171208,Speicherteich Panorama,46.918511,10.938308,2898.0,647583.033523002,5197932.23201147
17190595,Nauders Ganderbild,46.863224,10.544345,2150.0,617708.09740328,5191122.60233682
197012,Hairlachbach (Wasserfassung),47.15771889,11.01252657,1917.0,652550.343235956,5224655.92345432
197014,Alpeiner Bach (Wasserfassung),47.08977697,11.1760444,2039.0,665154.867335519,5217438.34732449
197023,Pitztaler Gletscher,46.9266694,10.88129098,2837.3,643220.103553504,5198733.07408976
20085015-1,Rosskar,46.859532,11.044191,2680.0,655815.530932122,5191583.22611692
23151011,Breiter Grieskogel Schneestation,47.08395278,11.02738333,2385.0,653889.093852727,5216487.88526613
24130782-1,Plojen,47.041396,10.558773,2065.0,618414.033423824,5210943.29076504
30181252,Eissee,46.994833,11.119766,2620.0,661169.454120826,5206770.6664595
39080186,Lampsenspitze Schneestation,47.153491,11.120722,2111.0,660764.086558876,5224403.0913217
40120689,Rifflsee Talstation Grubenkopf,46.96259,10.852025,2227.0,640897.867260462,5202671.58204311
41151038,Elferspitze Schneestation,47.07325001,11.29090555,2142.0,673925.942161663,5215850.85753492
41151041,Sonnbergalm,46.87435,11.01037778,2529.0,653196.055501778,5193163.2246363
41221314,Fiss Urgtal Schneestation,47.0878037,10.5731347,1855.0,619401.327816913,5216122.15853655
49080237-2,Nachtweide,46.982623,10.306146,2030.0,599332.109172868,5204060.9547006
50978865-1,Gamoarbach,46.901942,10.554773,2581.0,618417.651613868,5195440.69200743
50978865-2,Valdafur,46.891628,10.565901,2500.0,619288.065963114,5194311.4407526
54508439-1,Giggijoch,46.972983,10.966994,2532.0,649615.230967643,5204039.59908531
54508439-2,Rettenbachferner,46.9325584,10.93675559,2970.0,647426.278193018,5199490.2689033
54508439-3,Bartiges Bödele,46.961931,10.983463,2104.0,650898.96611466,5202843.06854391
66795066-1,Gallreideschrofen,47.052267,11.335489,2180.0,677380.212416025,5213619.31532244
latschbloder,Latschbloder,46.801055,10.806582,2919.0,637854.0,5184641.0
proviantdepot,Proviantdepot,46.828468,10.82747,2659.0,639377.0,5187724.0
